,title,date,author,level,length,icon
309,Microsoft DevOps Solutions: Designing Build Automation,May 23 2023,by Chris Behrens,Advanced,45m,https://pluralsight.imgix.net/course-images/microsoft-devops-solutions-designing-build-automation-v1.png?w=120
310,Microsoft Azure IoT Developer: Develop IoT Edge Modules,May 23 2023,by Reza Salehi,Advanced,51m,https://pluralsight.imgix.net/course-images/microsoft-azure-iot-developer-develop-iot-edge-modules-v1.png?w=120
311,Microsoft DevOps Solutions: Developing Security and Compliance,May 23 2023,by Neil Morrissey,Advanced,57m,https://pluralsight.imgix.net/course-images/microsoft-devops-solutions-developing-security-compliance-v1.jpg?w=120
312,Introduction to the Linux Essentials 010-160 Exam,May 23 2023,by David Clinton,Beginner,9m,https://pluralsight.imgix.net/course-images/linux-essentials-010-160-exam-cert-v1.jpg?w=120
313,Exam Alert: Implement IoT Edge in Microsoft Azure,May 23 2023,by Reza Salehi,Advanced,26m,https://pluralsight.imgix.net/course-images/exam-alert-implement-iot-edge-microsoft-azure-v1.png?w=120
314,Exam Alert: Implement Security for IoT in Microsoft Azure,May 23 2023,by James Millar,Advanced,33m,https://pluralsight.imgix.net/course-images/exam-alert-implement-security-iot-microsoft-azure-v1.jpg?w=120
315,The Emotional Side of Product Management,May 23 2023,by Nicole Castillo,Beginner,18m,https://pluralsight.imgix.net/course-images/product-speaker-series-emotional-side-v1.jpg?w=120
316,Getting Started with Linux System Administration,May 22 2023,by David Clinton,Beginner,1h 7m,https://pluralsight.imgix.net/course-images/linux-system-administration-getting-started-cert-v1.jpg?w=120
317,Getting Started with Linux System Administration,May 22 2023,by David Clinton,Beginner,1h 7m,https://pluralsight.imgix.net/course-images/linux-system-administration-getting-started-cert-v1.jpg?w=120
318,Building React Native Applications Using Expo,May 22 2023,by Reggie Dawson,Intermediate,2h 8m,https://pluralsight.imgix.net/course-images/react-native-building-applications-using-expo-v1.jpg?w=120
319,Testing in Python 3,May 22 2023,by Emily Bache,Intermediate,3h 5m,https://pluralsight.imgix.net/course-images/python-3-testing-v1.jpg?w=120
320,Testing in Python 3,May 22 2023,by Emily Bache,Intermediate,3h 5m,https://pluralsight.imgix.net/course-images/python-3-testing-v1.jpg?w=120
321,Scraping Dynamic Web Pages with Python 3 and Selenium,May 20 2023,by Pratheerth Padman,Intermediate,1h 42m,https://pluralsight.imgix.net/course-images/python-selenium-scraping-dynamic-web-pages-v1.jpg?w=120
322,Scraping Dynamic Web Pages with Python 3 and Selenium,May 20 2023,by Pratheerth Padman,Intermediate,1h 42m,https://pluralsight.imgix.net/course-images/python-selenium-scraping-dynamic-web-pages-v1.jpg?w=120
323,Windows Endpoint Administration: Deploy Windows Client,May 19 2023,by Glenn Weadock,Intermediate,2h 48m,https://pluralsight.imgix.net/course-images/windows-endpoint-administration-deploy-windows-cert-v1.jpg?w=120
324,The IT Ops Sessions: Transitioning Your PowerShell Skills to Azure,May 18 2023,by Matt Allford,Intermediate,42m,https://pluralsight.imgix.net/course-images/powershell-skills-azure-transitioning-it-ops-sessions-v1.png?w=120
325,Microsoft 365 Tenant-to-tenant Migration: Identities,May 18 2023,by Robert McMillen,Intermediate,1h 21m,https://pluralsight.imgix.net/course-images/microsoft-365-tenant-migration-identities-v1.jpg?w=120
326,Building Blockchains with Hyperledger,May 18 2023,by Janani Ravi,Beginner,2h 57m,https://pluralsight.imgix.net/course-images/building-blockchains-hyperledger-v1.png?w=120
327,Threat Hunt with PowerShell,May 16 2023,by Owen Dubiel,Intermediate,1h 31m,https://pluralsight.imgix.net/course-images/powershell-threat-hunt-v1.jpg?w=120
328,Getting Started with the Linux Command Line,May 16 2023,by David Clinton,Beginner,1h 3m,https://pluralsight.imgix.net/course-images/linux-command-line-getting-started-cert-v1.jpg?w=120
329,"Manage Invalid, Duplicate, and Missing Data in Python",May 16 2023,by Axel Sirota,Beginner,56m,https://pluralsight.imgix.net/course-images/python-manage-invalid-duplicate-missing-data-v1.jpg?w=120
330,Broadening the Reach of Power BI,May 16 2023,by Stacia Misner Varga,Intermediate,1h 51m,https://pluralsight.imgix.net/course-images/broadening-reach-power-bi-v1.jpg?w=120
331,Pen Testing with Bash,May 16 2023,by Malek Mohammad,Advanced,57m,https://pluralsight.imgix.net/course-images/bash-pen-testing-v1.jpg?w=120
332,Normalize Data to Make It Appropriate for an Analysis with Pandas,May 16 2023,by Axel Sirota,Intermediate,47m,https://pluralsight.imgix.net/course-images/pandas-analysis-normalize-data-make-it-appropriate-v1.jpg?w=120
333,Networking in Google Cloud: Defining and Implementing Networks,May 12 2023,by Google Cloud,Beginner,1h 36m,https://pluralsight.imgix.net/course-images/networking-google-cloud-defining-implementing-networks-9-v1.png?w=120
334,Scan Web Applications with Bash,May 12 2023,by Ricardo Reimao,Intermediate,47m,https://pluralsight.imgix.net/course-images/bash-scan-web-applications-v1.jpg?w=120
335,Networking in Google Cloud: Hybrid Connectivity and Network Management,May 12 2023,by Google Cloud,Beginner,1h 51m,https://pluralsight.imgix.net/course-images/networking-google-cloud-hybrid-connectivity-network-management-8-v1.png?w=120
336,Microsoft Collaboration Engineer: Plan and Design Collaboration Communications Systems,May 12 2023,by Jeff Brown,Intermediate,3h 28m,https://pluralsight.imgix.net/course-images/microsoft-collaboration-engineer-plan-design-communications-cert-v1.jpg?w=120
337,"Incident Response: Containment, Eradication and Recovery",May 12 2023,by Aaron Rosenmund,Intermediate,1h 6m,https://pluralsight.imgix.net/course-images/incident-response-containment-eradication-recovery-v1.png?w=120
338,Launching into Machine Learning,May 12 2023,by Google Cloud,Beginner,4h 20m,https://pluralsight.imgix.net/course-images/launching-machine-learning-4-v1.png?w=120
339,Best Practices: Roadmap to Enterprise Data Architecture Requirements,May 12 2023,by Naveed Tauhid,Beginner,47m,https://pluralsight.imgix.net/course-images/best-practices-roadmap-enterprise-data-architecture-requirements-v1.jpg?w=120
340,Preparing for your Professional Cloud Architect Journey,May 12 2023,by Google Cloud,Intermediate,1h 38m,https://pluralsight.imgix.net/course-images/preparing-professional-cloud-architect-journey-6-v1.png?w=120
341,Managing Security in Google Cloud,May 12 2023,by Google Cloud,Beginner,2h 21m,https://pluralsight.imgix.net/course-images/managing-security-google-cloud-7-v1.png?w=120
342,How Google Does Machine Learning,May 12 2023,by Google Cloud,Beginner,2h 55m,https://pluralsight.imgix.net/course-images/how-google-does-machine-learning-5-v1.png?w=120
343,Developing Java Apps with Docker,May 12 2023,by Esteban Herrera,Intermediate,3h 21m,https://pluralsight.imgix.net/course-images/java-apps-docker-developing-2023-v1.jpg?w=120
344,SEO Fundamentals,May 11 2023,by Paul Wilson,Beginner,3h 49m,https://pluralsight.imgix.net/course-images/fundamentals-seo-v1.jpg?w=120
345,Identity and Access Management: The Big Picture,May 11 2023,by Phil Chapman,Intermediate,56m,https://pluralsight.imgix.net/course-images/identity-access-management-big-picture-v1.jpg?w=120
346,Jakarta EE 10 Messaging with Kafka,May 11 2023,by Omar Perez,Intermediate,55m,https://pluralsight.imgix.net/course-images/jakarta-ee-10-messaging-kafka-v1.jpg?w=120
347,Managing Power Automate and Power Apps,May 11 2023,by Ben Fetters,Intermediate,1h 31m,https://pluralsight.imgix.net/course-images/power-automate-power-apps-managing-v1.jpg?w=120
348,Managing Power Automate and Power Apps,May 11 2023,by Ben Fetters,Intermediate,1h 31m,https://pluralsight.imgix.net/course-images/power-automate-power-apps-managing-v1.jpg?w=120
349,Getting Started with ServiceNow,May 10 2023,by Catalin Popa,Intermediate,2h 28m,https://pluralsight.imgix.net/course-images/servicenow-getting-started-2023-v1.jpg?w=120
350,Information and Cyber Security GRC: Compliance Assessment and Reporting,May 10 2023,by Jacob Ansari,Advanced,1h 55m,https://pluralsight.imgix.net/course-images/compliance-assessment-reporting-information-cyber-security-grc-v1.jpg?w=120
351,Design Patterns in Python 3,May 9 2023,by Gerald Britton,Advanced,4h 39m,https://pluralsight.imgix.net/course-images/python-3-design-patterns-v1.png?w=120
352,vSphere 8: Establishing and Maintaining vSphere Availability,May 9 2023,by David Davis,Intermediate,4h 57m,https://pluralsight.imgix.net/course-images/vsphere-8-establishing-maintaining-availability-v1.jpg?w=120
353,Git Branching and Merging,May 9 2023,by Craig Golightly,Intermediate,2h 22m,https://pluralsight.imgix.net/course-images/git-branching-merging-v1.png?w=120
354,NgRx Fundamentals,May 9 2023,by Duncan Hunter,Advanced,2h 55m,https://pluralsight.imgix.net/course-images/ngrx-fundamentals-v1.png?w=120
355,Achieving Advanced Insights with BigQuery,May 9 2023,by Google Cloud,Beginner,1h 40m,https://pluralsight.imgix.net/course-images/achieving-advanced-insights-bigquery-3-v1.png?w=120
356,Working with Databases in Python 3,May 9 2023,by Douglas Starnes,Intermediate,2h 43m,https://pluralsight.imgix.net/course-images/python-3-working-databases-v1.jpg?w=120
357,Ghidra Concepts and Basic Functionality,May 8 2023,by Josh Stroschein,Intermediate,43m,https://pluralsight.imgix.net/course-images/ghidra-concepts-basic-functionality-v1.jpg?w=120
358,Python 3 Regex Playbook,May 8 2023,by Maaike van Putten,Intermediate,1h 21m,https://pluralsight.imgix.net/course-images/python-3-regex-playbook-v1.jpg?w=120
359,Cleaning String Data in Python,May 8 2023,by Victoria Clark,Intermediate,50m,https://pluralsight.imgix.net/course-images/cleaning-string-data-python-v1.jpg?w=120
360,Better Communication for Better Relationships,May 8 2023,by Jason Alba,Beginner,1h 36m,https://pluralsight.imgix.net/course-images/better-communication-better-relationships-v1.jpg?w=120
361,"Django 4 Views, Apps, and URL Mappings",May 5 2023,by Tom Compagno,Intermediate,1h 58m,https://pluralsight.imgix.net/course-images/django-4-views-apps-url-mappings-v1.jpg?w=120
362,"Django 4 Views, Apps, and URL Mappings",May 5 2023,by Pluralsight,Intermediate,1h 58m,https://pluralsight.imgix.net/course-images/django-4-views-apps-url-mappings-v1.jpg?w=120
363,"Django 4 Views, Apps, and URL Mappings",May 5 2023,by Pluralsight,Intermediate,1h 58m,https://pluralsight.imgix.net/course-images/django-4-views-apps-url-mappings-v1.jpg?w=120
364,"Django 4 Views, Apps, and URL Mappings",May 5 2023,by Pluralsight,Intermediate,1h 58m,https://pluralsight.imgix.net/course-images/django-4-views-apps-url-mappings-v1.jpg?w=120
365,Feature Engineering,May 4 2023,by Google Cloud,Beginner,2h 29m,https://pluralsight.imgix.net/course-images/feature-engineering-3-v1.png?w=120
366,Preparing for Your Professional Cloud Security Engineer Journey,May 4 2023,by Google Cloud,Beginner,57m,https://pluralsight.imgix.net/course-images/preparing-professional-cloud-security-engineer-journey-6-v1.png?w=120
367,Testing in Go,May 4 2023,by Mike Van Sickle,Intermediate,2h 50m,https://pluralsight.imgix.net/course-images/go-testing-v1.jpg?w=120
368,Arrays and Objects in JavaScript,May 4 2023,by Matt Henry,Intermediate,1h 47m,https://pluralsight.imgix.net/course-images/javascript-arrays-objects-v1.png?w=120
369,SnowPro Core: Data Transformation,May 4 2023,by Ranjan Relan,Intermediate,1h 20m,https://pluralsight.imgix.net/course-images/snowpro-core-data-transformation-v3.png?w=120
370,Microsoft Identity and Access: Plan and Implement Identity Governance in Azure AD,May 4 2023,by Sahil Malik,Intermediate,1h 12m,https://pluralsight.imgix.net/course-images/microsoft-identity-access-implement-governance-azure-ad-cert-v1.jpg?w=120
371,Modernizing Enterprise Data Architecture for Innovation,May 4 2023,by Wilvie Anora,Beginner,1h 43m,https://pluralsight.imgix.net/course-images/enterprise-data-architecture-modernizing-innovation-v1.jpg?w=120
372,TensorFlow on Google Cloud,May 4 2023,by Google Cloud,Beginner,1h 55m,https://pluralsight.imgix.net/course-images/tensorflow-google-cloud-2-v1.png?w=120
373,Machine Learning in the Enterprise,May 4 2023,by Google Cloud,Beginner,2h 12m,https://pluralsight.imgix.net/course-images/machine-learning-enterprise-3-v1.png?w=120
374,Migrating to Microsoft Teams,May 3 2023,by Naveed Tauhid,Intermediate,2h 8m,https://pluralsight.imgix.net/course-images/microsoft-teams-migrating-v1.jpg?w=120
375,.NET MAUI: The Big Picture,May 3 2023,by Chris Miller,Beginner,59m,https://pluralsight.imgix.net/course-images/dot-net-maui-big-picture-v1.jpg?w=120
376,Kotlin Reflection,May 3 2023,by Timothy Ghanim,Advanced,1h 1m,https://pluralsight.imgix.net/course-images/kotlin-reflection-v1.png?w=120
377,.NET MAUI: The Big Picture,May 3 2023,by Pluralsight,Beginner,1h ,https://pluralsight.imgix.net/course-images/dot-net-maui-big-picture-v1.jpg?w=120
378,Angular Best Practices,May 3 2023,by Jim Cooper,Advanced,,https://pluralsight.imgix.net/course-images/best-angular-practices-v1.png?w=120
379,Angular Best Practices,May 3 2023,by Jim Cooper,Advanced,2h 8m,https://pluralsight.imgix.net/course-images/best-angular-practices-v1.png?w=120
380,Design a Model with Power BI,May 3 2023,by Eugene Meidinger,Intermediate,35m,https://pluralsight.imgix.net/course-images/design-model-powerbi-v1.jpg?w=120
381,Provisioning Premium Capacity as a Power BI Admin,May 3 2023,by Nikola Ilic,Intermediate,1h ,https://pluralsight.imgix.net/course-images/power-bi-admin-provisioning-premium-capacity-v1.jpg?w=120
382,Deploying Spring Framework 6 Applications Playbook,May 2 2023,by Bogdan Sucaciu,Advanced,2h 18m,https://pluralsight.imgix.net/course-images/spring-framework-6-deploying-applications-playbook-v1.jpg?w=120
383,Product Management: Understanding the Business,May 1 2023,by Jeff Hurd,Beginner,2h 15m,https://pluralsight.imgix.net/course-images/product-management-understanding-business-v1.jpg?w=120
384,C++20 Algorithms Playbook,May 1 2023,by Kate Gregory,Intermediate,3h 56m,https://pluralsight.imgix.net/course-images/cplusplus-20-algorithms-playbook-v2.png?w=120
385,Getting Started with Docker,May 1 2023,by Nigel Poulton,Beginner,1h 38m,https://pluralsight.imgix.net/course-images/docker-getting-started-2023-v1.jpg?w=120
386,EF Core 6 and Domain-Driven Design,May 1 2023,by Julie Lerman,Advanced,3h 42m,https://pluralsight.imgix.net/course-images/ef-core-6-domain-driven-design-v1.png?w=120
387,Validate Data Cleanliness Using Asserts in Python,May 1 2023,by Pinal Dave,Intermediate,42m,https://pluralsight.imgix.net/course-images/python-validate-data-cleanliness-using-asserts-v1.jpg?w=120
388,Python Data Essentials: Python Introduction,Apr 30 2023,by Faisal Memon,Beginner,1h 28m,https://pluralsight.imgix.net/course-images/python-data-essentials-python-introduction-v2.png?w=120
389,Developing for Excel with VBA,Apr 29 2023,by Mike McQuillan,Beginner,2h 37m,https://pluralsight.imgix.net/course-images/excel-vba-developing-v1.jpg?w=120
390,Developing for Excel with VBA,Apr 29 2023,by Mike McQuillan,Beginner,2h 37m,https://pluralsight.imgix.net/course-images/excel-vba-developing-v1.jpg?w=120
391,AWS Certified DevOps Engineer – Professional,Apr 28 2023,by Craig Arcuri,Advanced,23h 30m,https://pluralsight.imgix.net/course-images/aws-certified-devops-engineer---professional-v1.jpg?w=120
392,Formatting Excel Objects,Apr 28 2023,by Amber Israelsen,Beginner,1h 15m,https://pluralsight.imgix.net/course-images/excel-formatting-objects-v1.jpg?w=120
393,Microsoft Purview: Audit Log Monitoring in Microsoft 365,Apr 28 2023,by Liam Cleary,Intermediate,2h 38m,https://pluralsight.imgix.net/course-images/microsoft-purview-microsoft-365-audit-log-monitoring-v1.jpg?w=120
394,Automating Jenkins with Groovy,Apr 28 2023,by Chris Behrens,Intermediate,2h 8m,https://pluralsight.imgix.net/course-images/jenkins-groovy-automating-v1.jpg?w=120
395,Windows Endpoint Security: Scheduled Tasks,Apr 28 2023,by Michael Teske,Beginner,20m,https://pluralsight.imgix.net/course-images/security-windows-endpoint-scheduled-tasks-v1.jpg?w=120
396,Information and Cyber Security Literacy: Security Engineering and Architecture,Apr 28 2023,by Dr. Lyron H. Andrews,Beginner,49m,https://pluralsight.imgix.net/course-images/security-engineering-architecture-information-cyber-security-literacy-v1.jpg?w=120
397,Outlook On The Web | Mail,Apr 27 2023,by ClipTraining,Beginner,1h 12m,https://pluralsight.imgix.net/course-images/audience/generic.jpg?w=120
398,Microsoft Identity and Access: Implement Identities in Azure AD,Apr 26 2023,by Sahil Malik,Intermediate,1h 25m,https://pluralsight.imgix.net/course-images/microsoft-identity-access-implement-identities-azure-ad-cert-v1.jpg?w=120
399,Avoiding Common Writing Mistakes,Apr 26 2023,by Casey Ayers,Beginner,1h 51m,https://pluralsight.imgix.net/course-images/avoiding-common-writing-mistakes-v1.jpg?w=120
400,Introduction to the Configuring and Operating Microsoft Azure Virtual Desktop (AZ-140) Exam,Apr 26 2023,by Ned Bellavance,Beginner,24m,https://pluralsight.imgix.net/course-images/microsoft-azure-virtual-desktop-az-140-exam-intro-cert-v1.jpg?w=120
401,Importing Text Files in Python,Apr 26 2023,by Xavier Morera,Beginner,1h 6m,https://pluralsight.imgix.net/course-images/python-importing-text-files-v1.jpg?w=120
402,Getting Started with Ansible,Apr 26 2023,by Wes Higbee,Intermediate,2h 56m,https://pluralsight.imgix.net/course-images/ansible-getting-started-v1.jpg?w=120
403,Security Onion Concepts and Basic Functionality,Apr 26 2023,by Matt Glass,Beginner,40m,https://pluralsight.imgix.net/course-images/security-onion-concepts-basic-functionality-v1.jpg?w=120
404,Migrating from On-premises to Microsoft 365: Identities,Apr 26 2023,by Gary Grudzinskas,Intermediate,1h 29m,https://pluralsight.imgix.net/course-images/microsoft-365-on-premises-identities-migrating-v1.jpg?w=120
405,Google Cloud Fundamentals: Core Infrastructure,Apr 25 2023,by Google Cloud,Beginner,2h 23m,https://pluralsight.imgix.net/course-images/google-cloud-fundamentals-core-infrastructure-4-v1.png?w=120
406,Creating New BigQuery Datasets and Visualizing Insights,Apr 25 2023,by Google Cloud,Beginner,56m,https://pluralsight.imgix.net/course-images/new-bigquery-datasets-visualizing-insights-3-v1.png?w=120
407,Kotlin: The Big Picture,Apr 25 2023,by Markus Neuhoff,Beginner,55m,https://pluralsight.imgix.net/course-images/kotlin-big-picture-v1.jpg?w=120
408,Relational Databases: The Big Picture,Apr 25 2023,by Tom Taulli,Beginner,1h 56m,https://pluralsight.imgix.net/course-images/relational-databases-big-picture-v1.jpg?w=120
409,Profiling Go Applications,Apr 25 2023,by Pinal Dave,Advanced,1h 30m,https://pluralsight.imgix.net/course-images/go-profiling-applications-v1.jpg?w=120
410,Managing with Windows PowerShell Remoting,Apr 25 2023,by Michael Bender,Intermediate,1h 29m,https://pluralsight.imgix.net/course-images/windows-powershell-managing-remoting-v1.jpg?w=120
411,Preparing for Your Associate Cloud Engineer Journey,Apr 25 2023,by Google Cloud,Beginner,51m,https://pluralsight.imgix.net/course-images/preparing-associate-cloud-engineer-journey-3-v1.png?w=120
412,Exploring and Preparing your Data with BigQuery,Apr 25 2023,by Google Cloud,Beginner,2h 23m,https://pluralsight.imgix.net/course-images/exploring-preparing-data-bigquery-4-v1.png?w=120
413,Achieving Advanced Insights with BigQuery,Apr 25 2023,by Google Cloud,Beginner,1h 40m,https://pluralsight.imgix.net/course-images/achieving-advanced-insights-bigquery-4-v1.png?w=120
414,Python for Windows Administrators,Apr 24 2023,by Chris Blackden,Intermediate,1h 33m,https://pluralsight.imgix.net/course-images/python-windows-administrators-v1.jpg?w=120
415,Configuring Governance and Compliance for Microsoft Teams and Microsoft 365 Groups,Apr 24 2023,by Vlad Catrinescu,Intermediate,6h 17m,https://pluralsight.imgix.net/course-images/microsoft-teams-365-groups-configuring-governance-compliance-cert-v1.jpg?w=120
416,Development Environments and Package Management in Python 3,Apr 21 2023,by Reindert-Jan Ekker,Intermediate,1h 40m,https://pluralsight.imgix.net/course-images/python-3-development-environments-package-management-v1.png?w=120
417,Continuous Monitoring for CGRC,Apr 21 2023,by Kevin Henry,Beginner,1h ,https://pluralsight.imgix.net/course-images/continuous-monitoring-cgrc-cert-v1.png?w=120
418,Authorization/Approval of Information System for CGRC,Apr 21 2023,by Kevin Henry,Beginner,43m,https://pluralsight.imgix.net/course-images/authorization-approval-information-system-cgrc-cert-v1.png?w=120
419,Globalization and Internationalization in .NET 6,Apr 21 2023,by Filip Ekberg,Intermediate,2h 36m,https://pluralsight.imgix.net/course-images/dot-net-6-globalization-internationalization-v1.jpg?w=120
420,Network Protocols for Security: IPv4 and ARP,Apr 20 2023,by Brandon DeVault,Beginner,18m,https://pluralsight.imgix.net/course-images/ipv4-arp-security-network-protocols-v1.jpg?w=120
421,Debugging Sites with Chrome DevTools,Apr 20 2023,by Brice Wilson,Advanced,2h 6m,https://pluralsight.imgix.net/course-images/chrome-developer-tools-debugging-sites-v1.png?w=120
422,Crawling the Web with Python 3 and Scrapy 2,Apr 19 2023,by Ed Freitas,Intermediate,1h 30m,https://pluralsight.imgix.net/course-images/crawling-web-python-scrapy-v1.png?w=120
423,Building Go Web Services and Applications,Apr 19 2023,by Josh Duffney,Intermediate,3h 12m,https://pluralsight.imgix.net/course-images/go-building-web-services-applications-v1.jpg?w=120
424,Functional Programming Concepts in JavaScript,Apr 19 2023,by Pluralsight,Advanced,1h 29m,https://pluralsight.imgix.net/course-images/javascript-functional-programming-concepts-v1.jpg?w=120
425,Functional Programming Concepts in JavaScript,Apr 19 2023,by Adhithi Ravichandran,Advanced,1h 29m,https://pluralsight.imgix.net/course-images/javascript-functional-programming-concepts-v1.jpg?w=120
426,Functional Programming Concepts in JavaScript,Apr 19 2023,by Adhithi Ravichandran,Advanced,1h 29m,https://pluralsight.imgix.net/course-images/javascript-functional-programming-concepts-v1.jpg?w=120
427,Functional Programming Concepts in JavaScript,Apr 19 2023,by Pluralsight,Advanced,1h 29m,https://pluralsight.imgix.net/course-images/javascript-functional-programming-concepts-v1.jpg?w=120
428,Functional Programming Concepts in JavaScript,Apr 19 2023,by Pluralsight,Advanced,1h 29m,https://pluralsight.imgix.net/course-images/javascript-functional-programming-concepts-v1.jpg?w=120
429,Generics and Traits in Rust 2021,Apr 19 2023,by Shaun Meyer,Intermediate,1h 2m,https://pluralsight.imgix.net/course-images/rust-2021-generics-traits-v1.jpg?w=120
430,Building Go Web Services and Applications,Apr 19 2023,by Josh Duffney,Intermediate,3h 18m,https://pluralsight.imgix.net/course-images/go-building-web-services-applications-v1.jpg?w=120
431,Functional Programming Concepts in JavaScript,Apr 19 2023,by Pluralsight,Advanced,1h 29m,https://pluralsight.imgix.net/course-images/javascript-functional-programming-concepts-v1.jpg?w=120
432,Functional Programming Concepts in JavaScript,Apr 19 2023,by Adhithi Ravichandran,Advanced,1h 29m,https://pluralsight.imgix.net/course-images/javascript-functional-programming-concepts-v1.jpg?w=120
433,Functional Programming Concepts in JavaScript,Apr 19 2023,by Pluralsight,Advanced,1h 29m,https://pluralsight.imgix.net/course-images/javascript-functional-programming-concepts-v1.jpg?w=120
434,Functional Programming Concepts in JavaScript,Apr 19 2023,by Adhithi Ravichandran,Advanced,1h 29m,https://pluralsight.imgix.net/course-images/javascript-functional-programming-concepts-v1.jpg?w=120
435,Functional Programming Concepts in JavaScript,Apr 19 2023,by Adhithi Ravichandran,Advanced,1h 29m,https://pluralsight.imgix.net/course-images/javascript-functional-programming-concepts-v1.jpg?w=120
436,Functional Programming Concepts in JavaScript,Apr 19 2023,by Pluralsight,Advanced,1h 29m,https://pluralsight.imgix.net/course-images/javascript-functional-programming-concepts-v1.jpg?w=120
437,Functional Programming Concepts in JavaScript,Apr 19 2023,by Pluralsight,Advanced,1h 29m,https://pluralsight.imgix.net/course-images/javascript-functional-programming-concepts-v1.jpg?w=120
438,Functional Programming Concepts in JavaScript,Apr 19 2023,by Pluralsight,Advanced,1h 29m,https://pluralsight.imgix.net/course-images/javascript-functional-programming-concepts-v1.jpg?w=120
439,Functional Programming Concepts in JavaScript,Apr 19 2023,by Pluralsight,Advanced,1h 29m,https://pluralsight.imgix.net/course-images/javascript-functional-programming-concepts-v1.jpg?w=120
440,Functional Programming Concepts in JavaScript,Apr 19 2023,by Pluralsight,Advanced,1h 29m,https://pluralsight.imgix.net/course-images/javascript-functional-programming-concepts-v1.jpg?w=120
441,Functional Programming Concepts in JavaScript,Apr 19 2023,by Pluralsight,Advanced,1h 29m,https://pluralsight.imgix.net/course-images/javascript-functional-programming-concepts-v1.jpg?w=120
442,Generics and Traits in Rust 2021,Apr 19 2023,by Shaun Meyer,Intermediate,1h 2m,https://pluralsight.imgix.net/course-images/rust-2021-generics-traits-v1.jpg?w=120
443,Getting Started with Drupal,Apr 18 2023,by Steve Buchanan,Intermediate,1h 33m,https://pluralsight.imgix.net/course-images/drupal-getting-started-v1.jpg?w=120
444,Applying Machine Learning to your Data with Google Cloud,Apr 18 2023,by Google Cloud,Beginner,1h 26m,https://pluralsight.imgix.net/course-images/applying-machine-learning-data-google-cloud-2-v1.png?w=120
445,Essential Google Cloud Infrastructure: Foundation,Apr 18 2023,by Google Cloud,Beginner,3h 29m,https://pluralsight.imgix.net/course-images/essential-google-cloud-infrastructure-foundation-7-v1.png?w=120
446,Assessment/Audit of Security and Privacy Controls for CGRC,Apr 18 2023,by Kevin Henry,Beginner,1h 32m,https://pluralsight.imgix.net/course-images/assessment-audit-security-privacy-controls-cgrc-cert-v1.png?w=120
447,Architecting with Google Kubernetes Engine: Workloads,Apr 18 2023,by Google Cloud,Beginner,2h 58m,https://pluralsight.imgix.net/course-images/architecting-google-kubernetes-engine-workloads-8-v1.png?w=120
448,Getting Started with Drupal,Apr 18 2023,by Steve Buchanan,Intermediate,1h 33m,https://pluralsight.imgix.net/course-images/drupal-getting-started-v1.jpg?w=120
449,Architecting with Google Kubernetes Engine: Workloads,Apr 18 2023,by Pluralsight,Beginner,2h 58m,https://pluralsight.imgix.net/course-images/architecting-google-kubernetes-engine-workloads-8-v1.png?w=120
450,Ruby 3: The Big Picture,Apr 17 2023,by Paolo Perrotta,Beginner,1h 21m,https://pluralsight.imgix.net/course-images/ruby-3-big-picture-v1.png?w=120
451,Managing Technical Professionals,Apr 14 2023,by Shelley Benhoff,Intermediate,2h 29m,https://pluralsight.imgix.net/course-images/audience/business-professional.jpg?w=120
452,Developing Docker Apps: Core Principles,Apr 14 2023,by Nigel Brown,Intermediate,2h 48m,https://pluralsight.imgix.net/course-images/docker-apps-developing-core-principles-2023-v1.jpg?w=120
453,Python Data Essentials: Programming Fundamentals,Apr 14 2023,by Mateo Prigl,Intermediate,1h 41m,https://pluralsight.imgix.net/course-images/python-data-essentials-programming-fundamentals-v1.jpg?w=120
454,Developing Docker Apps: Core Principles,Apr 14 2023,by Nigel Brown,Intermediate,2h 48m,https://pluralsight.imgix.net/course-images/docker-apps-developing-core-principles-2023-v1.jpg?w=120
455,Certified Analytics Professional: Analytics Problem Framing,Apr 14 2023,by Brayden Ross,Intermediate,1h 16m,https://pluralsight.imgix.net/course-images/certified-analytics-professional-analytics-problem-framing-v1.jpg?w=120
456,TensorFlow Developer Certificate - Building and Training Neural Network Models using TensorFlow 2.X,Apr 14 2023,by Biswanath Halder,Intermediate,1h 42m,https://pluralsight.imgix.net/course-images/tensorflow-developer-build-train-neural-network-models-v1.jpg?w=120
457,Debugging with Visual Studio 2022,Apr 13 2023,by Erik Dahl,Intermediate,1h 42m,https://pluralsight.imgix.net/course-images/visual-studio-2022-debugging-v1.png?w=120
458,Specialized DFIR: Windows Registry Forensics,Apr 13 2023,by Tyler Hudak,Advanced,1h 9m,https://pluralsight.imgix.net/course-images/specialized-difr-windows-registry-forensics-v1.jpg?w=120
459,Azure Virtual Desktop: Monitor and Maintain Infrastructure,Apr 12 2023,by Ned Bellavance,Intermediate,1h 14m,https://pluralsight.imgix.net/course-images/azure-virtual-desktop-monitor-maintain-infrastructure-cert-v1.jpg?w=120
460,Drupal 10 Site Administration,Apr 12 2023,by James Millar,Intermediate,2h 42m,https://pluralsight.imgix.net/course-images/drupal-10-site-administration-v1.jpg?w=120
461,Collections in Rust 2021,Apr 12 2023,by Pluralsight,Intermediate,1h 32m,https://pluralsight.imgix.net/course-images/rust-2021-collections-v1.jpg?w=120
