,title,date,author,level,length,icon
33,Introduction to AI and Machine Learning on Google Cloud,Aug 23 2023,by Google Cloud,Beginner,2h 45m,https://pluralsight.imgix.net/course-images/introduction-ai-machine-learning-google-cloud-v1.png?w=120
34,Building RESTful Services Using Spring Data REST 4,Aug 23 2023,by Catalin Tudose,Intermediate,1h 4m,https://pluralsight.imgix.net/course-images/spring-data-rest-4-building-restful-services-v1.png?w=120
35,AWS Certified Solutions Architect - Professional (SAP-C02),Aug 23 2023,by David Blocher,Intermediate,11h 23m,https://pluralsight.imgix.net/course-images/aws-certified-solutions-architect-professional-sap-c02-v1.jpg?w=120
36,Machine Learning Operations (MLOps): Getting Started,Aug 23 2023,by Google Cloud,Beginner,1h 2m,https://pluralsight.imgix.net/course-images/machine-learning-operations-mlops-getting-started-1-v1.png?w=120
37,AZ-204: Developing Solutions for Microsoft Azure,Aug 23 2023,by Amy Coughlin,Intermediate,4h 11m,https://pluralsight.imgix.net/course-images/az-204-developing-solutions-microsoft-azure-v1.jpg?w=120
38,Essential Google Cloud Infrastructure: Core Services,Aug 22 2023,by Google Cloud,Beginner,3h 14m,https://pluralsight.imgix.net/course-images/essential-google-cloud-infrastructure-core-services-13-v1.png?w=120
39,The IT Ops Sessions: Enhancing SASE with SD-WAN Security,Aug 22 2023,by Matt Conran,Intermediate,33m,https://pluralsight.imgix.net/course-images/sase-sd-wan-security-enhancing-it-ops-sessions-v1.png?w=120
40,The Data Sessions: ChatGPT Roundtable Discussion with Pluralsight Experts,Aug 22 2023,by Pluralsight Skills,Beginner,57m,https://pluralsight.imgix.net/course-images/data-sessions-chatgpt-roundtable-discussion-v1.png?w=120
41,Enterprise Database Migration,Aug 21 2023,by Google Cloud,Beginner,3h 35m,https://pluralsight.imgix.net/course-images/enterprise-database-migration-3-v1.png?w=120
42,Getting Started with Puppet 7,Aug 21 2023,by Agaba Philip,Beginner,1h 46m,https://pluralsight.imgix.net/course-images/puppet-7-getting-started-v1.jpg?w=120
43,Advanced Analytics and Ethics in Business Analytics,Aug 21 2023,by Wilvie Anora,Intermediate,3h 30m,https://pluralsight.imgix.net/course-images/advanced-analytics-ethics-business-analytics-v1.jpg?w=120
44,Elastic Google Cloud Infrastructure: Scaling and Automation,Aug 21 2023,by Google Cloud,Beginner,2h 44m,https://pluralsight.imgix.net/course-images/elastic-google-cloud-infrastructure-scaling-automation-12-v1.png?w=120
45,Feature Engineering,Aug 21 2023,by Google Cloud,Intermediate,2h 29m,https://pluralsight.imgix.net/course-images/feature-engineering-4-v1.png?w=120
46,Advanced Analytics and Ethics in Business Analytics,Aug 21 2023,by Pluralsight,Intermediate,3h 30m,https://pluralsight.imgix.net/course-images/advanced-analytics-ethics-business-analytics-v1.jpg?w=120
47,Fundamentals of Data Storytelling,Aug 21 2023,by Renganathan Padmanabhan,Beginner,37m,https://pluralsight.imgix.net/course-images/fundamentals-data-storytelling-v1.jpg?w=120
48,Reading and Writing CSV Files in Python,Aug 18 2023,by Chase DeHan,Intermediate,46m,https://pluralsight.imgix.net/course-images/python-reading-writing-csv-files-v1.jpg?w=120
49,Building Blazor Hybrid Apps,Aug 18 2023,by Thomas Claudius Huber,Intermediate,3h 3m,https://pluralsight.imgix.net/course-images/blazor-hybrid-apps-building-v1.jpg?w=120
50,Essential Google Cloud Infrastructure: Foundation,Aug 18 2023,by Google Cloud,Beginner,3h 29m,https://pluralsight.imgix.net/course-images/essential-google-cloud-infrastructure-foundation-8-v1.png?w=120
51,Preparing for Your Professional Cloud Network Engineer Journey,Aug 18 2023,by Google Cloud,Intermediate,1h 4m,https://pluralsight.imgix.net/course-images/preparing-professional-cloud-network-engineer-journey-4-v1.png?w=120
52,Production Machine Learning Systems,Aug 18 2023,by Google Cloud,Intermediate,2h 42m,https://pluralsight.imgix.net/course-images/production-machine-learning-systems-7-v1.png?w=120
53,Google Slides,Aug 18 2023,by Google Cloud,Beginner,44m,https://pluralsight.imgix.net/course-images/google-slides-2-v1.png?w=120
54,Spring Framework 6 Fundamentals,Aug 18 2023,by Bryan Hansen,Beginner,2h 36m,https://pluralsight.imgix.net/course-images/spring-framework-6-fundamentals-v1.jpg?w=120
55,Getting Started with Podman,Aug 17 2023,by Andrew Mallett,Beginner,3h 31m,https://pluralsight.imgix.net/course-images/podman-getting-started-v1.jpg?w=120
56,Styling Angular Applications,Aug 17 2023,by Brian Treese,Intermediate,1h 51m,https://pluralsight.imgix.net/course-images/angular-styling-applications-v1.png?w=120
57,Microsoft Collaboration Engineer: Configure and Manage Teams Meetings and Events,Aug 17 2023,by Jeff Brown,Intermediate,1h 14m,https://pluralsight.imgix.net/course-images/microsoft-collaboration-engineer-configure-manage-teams-meetings-events-cert-v1.jpg?w=120
58,Network Protocols for Security: ICMP,Aug 17 2023,by Brandon DeVault,Beginner,18m,https://pluralsight.imgix.net/course-images/icmp-sec-network-protocols-v1.jpg?w=120
59,Microsoft Identity and Access: Implement Access Management for Applications,Aug 17 2023,by Reza Salehi,Intermediate,1h 31m,https://pluralsight.imgix.net/course-images/microsoft-identity-access-implement-management-applications-cert-v2.jpg?w=120
60,Datadog Fundamentals,Aug 17 2023,by Michael Jenkins,Intermediate,2h 58m,https://pluralsight.imgix.net/course-images/datadog-fundamentals-v1.jpg?w=120
61,Practical Application of LLMs,Aug 16 2023,by Tom Taulli,Beginner,57m,https://pluralsight.imgix.net/course-images/practical-application-llms-v1.jpg?w=120
62,Building a PWA with ASP.NET Core 6 Blazor,Aug 15 2023,by Matthew Soucoup,Intermediate,1h 5m,https://pluralsight.imgix.net/course-images/aspdotnet-core-6-blazor-building-pwa-v1.png?w=120
63,Implementing and Managing Microsoft Defender for Identity,Aug 15 2023,by Rishalin Pillay,Intermediate,1h 17m,https://pluralsight.imgix.net/course-images/microsoft-defender-identity-implementing-managing-v1.jpg?w=120
64,"Navigating Generative AI Hurdles: Prototyping, Evaluation, and Ethics",Aug 15 2023,by Ed Freitas,Beginner,1h 18m,https://pluralsight.imgix.net/course-images/navigating-generative-ai-prototyping-evaluation-ethics-v1.jpg?w=120
65,The IT Ops Sessions: Sustainability in Data Centers,Aug 12 2023,by Jillian Kaplan,Intermediate,27m,https://pluralsight.imgix.net/course-images/data-centers-sustainability-it-ops-sessions-v1.png?w=120
66,The IT Ops Sessions: Sustainability in Data Centers,Aug 12 2023,by Jillian Kaplan,Intermediate,27m,https://pluralsight.imgix.net/course-images/data-centers-sustainability-it-ops-sessions-v1.png?w=120
67,Dynatrace Fundamentals,Aug 11 2023,by Jean Tunis,Intermediate,3h 5m,https://pluralsight.imgix.net/course-images/dynatrace-fundamentals-v1.jpg?w=120
68,API Security with the OWASP API Security Top 10,Aug 11 2023,by Gavin Johnson-Lynn,Intermediate,1h 59m,https://pluralsight.imgix.net/course-images/owasp-api-security-top-10-v1.jpg?w=120
69,Configuring and Managing SharePoint Online and OneDrive for Business,Aug 11 2023,by Vlad Catrinescu,Intermediate,5h 45m,https://pluralsight.imgix.net/course-images/sharepoint-online-onedrive-business-configuring-managing-v1.jpg?w=120
70,API Security with the OWASP API Security Top 10,Aug 11 2023,by Pluralsight,Intermediate,1h 59m,https://pluralsight.imgix.net/course-images/owasp-api-security-top-10-v1.jpg?w=120
71,Getting Started with Jenkins,Aug 11 2023,by Wes Higbee,Beginner,2h 25m,https://pluralsight.imgix.net/course-images/jenkins-getting-started-2023-v1.jpg?w=120
72,Documenting RESTful Services Using Spring REST Docs 3,Aug 11 2023,by Federico Mestrone,Advanced,3h 3m,https://pluralsight.imgix.net/course-images/spring-rest-docs-3-documenting-restful-services-v1.jpg?w=120
73,Data Security with OpenSSL,Aug 10 2023,by Afzaal Ahmad Zeeshan,Intermediate,36m,https://pluralsight.imgix.net/course-images/openssl-data-security-v1.jpg?w=120
74,Terraform Deep Dive,Aug 10 2023,by Ned Bellavance,Intermediate,3h 49m,https://pluralsight.imgix.net/course-images/terraform-deep-dive-2023-v1.jpg?w=120
75,Google Docs,Aug 10 2023,by Google Cloud,Beginner,38m,https://pluralsight.imgix.net/course-images/google-docs-3-v1.png?w=120
76,Post Exploitation with PowerShell,Aug 9 2023,by Ricardo Reimao,Advanced,1h 48m,https://pluralsight.imgix.net/course-images/powershell-post-exploitation-v1.jpg?w=120
77,NLP's and Transformer Models,Aug 9 2023,by Axel Sirota,Intermediate,2h 35m,https://pluralsight.imgix.net/course-images/nlp-transformer-models-v2.jpg?w=120
78,OS Analysis with Artillery,Aug 9 2023,by Matt Glass,Intermediate,16m,https://pluralsight.imgix.net/course-images/artillery-os-analysis-v1.jpg?w=120
79,Rust: The Big Picture,Aug 9 2023,by Mike Woodring,Beginner,1h 55m,https://pluralsight.imgix.net/course-images/rust-big-picture-v1.jpg?w=120
