nro,title,title_url,title_badge,date,author,level,length,icon
55,Getting Started with Podman,https://www.pluralsight.com/courses/podman-getting-started,Skills - Expanded,Aug 17 2023,by Andrew Mallett,Beginner,3h 31m,https://pluralsight.imgix.net/course-images/podman-getting-started-v1.jpg?w=120
56,Styling Angular Applications,https://www.pluralsight.com/courses/angular-styling-applications,Skills - Expanded,Aug 17 2023,by Brian Treese,Intermediate,1h 51m,https://pluralsight.imgix.net/course-images/angular-styling-applications-v1.png?w=120
57,Microsoft Collaboration Engineer: Configure and Manage Teams Meetings and Events,https://www.pluralsight.com/courses/microsoft-collaboration-engineer-configure-manage-teams-meetings-events-cert,Skills - Expanded,Aug 17 2023,by Jeff Brown,Intermediate,1h 14m,https://pluralsight.imgix.net/course-images/microsoft-collaboration-engineer-configure-manage-teams-meetings-events-cert-v1.jpg?w=120
58,Network Protocols for Security: ICMP,https://www.pluralsight.com/courses/icmp-sec-network-protocols,Skills - Expanded,Aug 17 2023,by Brandon DeVault,Beginner,18m,https://pluralsight.imgix.net/course-images/icmp-sec-network-protocols-v1.jpg?w=120
59,Microsoft Identity and Access: Implement Access Management for Applications,https://www.pluralsight.com/courses/microsoft-identity-access-implement-management-applications-cert,Skills - Expanded,Aug 17 2023,by Reza Salehi,Intermediate,1h 31m,https://pluralsight.imgix.net/course-images/microsoft-identity-access-implement-management-applications-cert-v2.jpg?w=120
60,Datadog Fundamentals,https://www.pluralsight.com/courses/datadog-fundamentals,Skills - Expanded,Aug 17 2023,by Michael Jenkins,Intermediate,2h 58m,https://pluralsight.imgix.net/course-images/datadog-fundamentals-v1.jpg?w=120
61,Practical Application of LLMs,https://www.pluralsight.com/courses/practical-application-llms,Skills - Expanded,Aug 16 2023,by Tom Taulli,Beginner,57m,https://pluralsight.imgix.net/course-images/practical-application-llms-v1.jpg?w=120
62,Building a PWA with ASP.NET Core 6 Blazor,https://www.pluralsight.com/courses/aspdotnet-core-6-blazor-building-pwa,Skills - Expanded,Aug 15 2023,by Matthew Soucoup,Intermediate,1h 5m,https://pluralsight.imgix.net/course-images/aspdotnet-core-6-blazor-building-pwa-v1.png?w=120
63,Implementing and Managing Microsoft Defender for Identity,https://www.pluralsight.com/courses/microsoft-defender-identity-implementing-managing,Skills - Expanded,Aug 15 2023,by Rishalin Pillay,Intermediate,1h 17m,https://pluralsight.imgix.net/course-images/microsoft-defender-identity-implementing-managing-v1.jpg?w=120
64,"Navigating Generative AI Hurdles: Prototyping, Evaluation, and Ethics",https://www.pluralsight.com/courses/navigating-generative-ai-prototyping-evaluation-ethics,Skills - Expanded,Aug 15 2023,by Ed Freitas,Beginner,1h 18m,https://pluralsight.imgix.net/course-images/navigating-generative-ai-prototyping-evaluation-ethics-v1.jpg?w=120
65,The IT Ops Sessions: Sustainability in Data Centers,https://www.pluralsight.com/courses/data-centers-sustainability-it-ops-sessions0,Skills - Expanded,Aug 12 2023,by Jillian Kaplan,Intermediate,27m,https://pluralsight.imgix.net/course-images/data-centers-sustainability-it-ops-sessions-v1.png?w=120
66,The IT Ops Sessions: Sustainability in Data Centers,https://www.pluralsight.com/courses/data-centers-sustainability-it-ops-sessions,Skills - Expanded,Aug 12 2023,by Jillian Kaplan,Intermediate,27m,https://pluralsight.imgix.net/course-images/data-centers-sustainability-it-ops-sessions-v1.png?w=120
67,Dynatrace Fundamentals,https://www.pluralsight.com/courses/dynatrace-fundamentals,Skills - Expanded,Aug 11 2023,by Jean Tunis,Intermediate,3h 5m,https://pluralsight.imgix.net/course-images/dynatrace-fundamentals-v1.jpg?w=120
68,API Security with the OWASP API Security Top 10,https://www.pluralsight.com/courses/owasp-api-security-top-100,Skills - Expanded,Aug 11 2023,by Gavin Johnson-Lynn,Intermediate,1h 59m,https://pluralsight.imgix.net/course-images/owasp-api-security-top-10-v1.jpg?w=120
