nro,title,title_url,title_badge,date,author,level,length,icon
1957,Architecting with Google Kubernetes Engine: Foundations,https://www.pluralsight.com/courses/architecting-google-kubernetes-engine-foundations-4,Skills,Dec 9 2021,by Google Cloud,Intermediate,2h 3m,https://pluralsight.imgix.net/course-images/architecting-google-kubernetes-engine-foundations-4-v1.png?w=120
1958,ICAgile (ICP-TST): Getting Started,https://www.pluralsight.com/courses/getting-started-icagile-icp-tst,Skills,Dec 9 2021,by Chris Behrens,Beginner,1h 1m,https://pluralsight.imgix.net/course-images/getting-started-icagile-icp-tst-v1.jpg?w=120
1959,Getting Started with Google Kubernetes Engine,https://www.pluralsight.com/courses/getting-started-google-kubernetes-engine-6,Skills,Dec 9 2021,by Google Cloud,Intermediate,2h 49m,https://pluralsight.imgix.net/course-images/getting-started-google-kubernetes-engine-6-v1.png?w=120
1960,Essential Google Cloud Infrastructure: Core Services,https://www.pluralsight.com/courses/essential-google-cloud-infrastructure-core-services-6,Skills,Dec 8 2021,by Google Cloud,Intermediate,3h 21m,https://pluralsight.imgix.net/course-images/essential-google-cloud-infrastructure-core-services-6-v1.png?w=120
1961,Essential Google Cloud Infrastructure: Foundation,https://www.pluralsight.com/courses/essential-google-cloud-infrastructure-foundation-2,Skills,Dec 8 2021,by Google Cloud,Intermediate,3h 22m,https://pluralsight.imgix.net/course-images/essential-google-cloud-infrastructure-foundation-2-v1.png?w=120
1962,Troubleshooting Microsoft Teams: Sign In Issues,https://www.pluralsight.com/courses/microsoft-teams-troubleshooting-sign-in-issues-cert,Skills,Dec 8 2021,by Sahil Malik,Intermediate,58m,https://pluralsight.imgix.net/course-images/microsoft-teams-troubleshooting-sign-in-issues-cert-v1.jpg?w=120
1963,RHEL 8: Managing Security,https://www.pluralsight.com/courses/rhel-8-managing-security-cert,Skills,Dec 8 2021,by Andrew Mallett,Intermediate,2h 24m,https://pluralsight.imgix.net/course-images/rhel-8-managing-security-cert-v1.jpg?w=120
1964,Service Design Surveys and Analysis,https://www.pluralsight.com/courses/service-design-surveys-analysis,Skills,Dec 8 2021,by Ada Epistatu,Advanced,56m,https://pluralsight.imgix.net/course-images/service-design-surveys-analysis-v1.jpg?w=120
1965,Service Design Process and Lifecycle Mapping,https://www.pluralsight.com/courses/service-design-process-lifecycle-mapping,Skills,Dec 8 2021,by Ada Epistatu,Intermediate,1h 13m,https://pluralsight.imgix.net/course-images/service-design-process-lifecycle-mapping-v1.jpg?w=120
1966,Elastic Google Cloud Infrastructure: Scaling and Automation,https://www.pluralsight.com/courses/elastic-google-cloud-infrastructure-scaling-automation-6,Skills,Dec 8 2021,by Google Cloud,Intermediate,2h 44m,https://pluralsight.imgix.net/course-images/elastic-google-cloud-infrastructure-scaling-automation-6-v1.png?w=120
1967,Perform Advanced Analysis with Power BI,https://www.pluralsight.com/courses/perform-advanced-analysis-power-bi,Skills,Dec 7 2021,by Andrew McSwiggan,Beginner,1h 56m,https://pluralsight.imgix.net/course-images/perform-advanced-analysis-power-bi-v1.jpg?w=120
1968,Recognizing and Surviving an Emotionally Toxic Workplace,https://www.pluralsight.com/courses/recognizing-surviving-emotionally-toxic-workplace,Skills,Dec 7 2021,by Heather Ackmann,Advanced,1h 23m,https://pluralsight.imgix.net/course-images/recognizing-surviving-emotionally-toxic-workplace-v1.jpg?w=120
1969,Data Collection and Processing (CTIA Prep),https://www.pluralsight.com/courses/data-collection-processing-ctia-cert,Skills,Dec 7 2021,by Phil Chapman,Intermediate,2h 38m,https://pluralsight.imgix.net/course-images/data-collection-processing-ctia-cert-v1.png?w=120
1970,Implementing Terraform with Google Cloud Platform,https://www.pluralsight.com/courses/terraform-google-cloud-platform-implementing,Skills,Dec 7 2021,by Chris Blackden,Advanced,53m,https://pluralsight.imgix.net/course-images/terraform-google-cloud-platform-implementing-v1.jpg?w=120
1971,Query Caching Performance Features with Snowflake,https://www.pluralsight.com/courses/query-caching-performance-features-snowflake,Skills,Dec 7 2021,by Rushabh Doshi,Intermediate,35m,https://pluralsight.imgix.net/course-images/query-caching-performance-features-snowflake-v1.jpg?w=120
1972,Exploring Product Launch,https://www.pluralsight.com/courses/exploring-product-launch-plan,Skills - Expanded,Dec 7 2021,by Eliska Elaine Que,Intermediate,1h 2m,https://pluralsight.imgix.net/course-images/exploring-product-launch-plan-v1.jpg?w=120
1973,Go Fundamentals,https://www.pluralsight.com/courses/go-fundamentals,Skills,Dec 6 2021,by Nigel Poulton,Intermediate,3h 25m,https://pluralsight.imgix.net/course-images/go-fundamentals-v2.jpg?w=120
1974,Java Microservices with Spring Cloud: Developing Services,https://www.pluralsight.com/courses/java-microservices-spring-cloud-developing-services,Skills,Dec 6 2021,by Richard Seroter,Intermediate,3h 16m,https://pluralsight.imgix.net/course-images/java-microservices-spring-cloud-developing-services-v2.jpg?w=120
1975,Essential Google Cloud Infrastructure: Core Services,https://www.pluralsight.com/courses/essential-google-cloud-infrastructure-core-services-5,Skills - Expanded,Dec 6 2021,by Google Cloud,Intermediate,3h 14m,https://pluralsight.imgix.net/course-images/essential-google-cloud-infrastructure-core-services-5-v1.png?w=120
1976,Automation Anywhere 11: Fundamentals,https://www.pluralsight.com/courses/automation-anywhere-rpa-fundamentals,Skills,Dec 3 2021,by Ed Freitas,Beginner,1h 9m,https://pluralsight.imgix.net/course-images/automation-anywhere-rpa-fundamentals-v1.jpg?w=120
1977,Creating Power Virtual Agent Chatbots for Microsoft Teams (PL-100),https://www.pluralsight.com/courses/microsoft-teams-creating-power-virtual-agent-chatbots,Skills,Dec 3 2021,by Vlad Catrinescu,Intermediate,1h 41m,https://pluralsight.imgix.net/course-images/microsoft-teams-creating-power-virtual-agent-chatbots-v1.jpg?w=120
1978,Specialized Attacks: Physical and Social Engineering,https://www.pluralsight.com/courses/specialized-attacks-physical-social-engineering,Skills,Dec 3 2021,by FC,Intermediate,34m,https://pluralsight.imgix.net/course-images/specialized-attacks-physical-social-engineering-v1.jpg?w=120
1979,Profile Your Data with Power BI,https://www.pluralsight.com/courses/profile-data-power-bi,Skills,Dec 2 2021,by Remsey Mailjard,Beginner,26m,https://pluralsight.imgix.net/course-images/profile-data-power-bi-v1.jpg?w=120
1980,DevOps with GitHub and Azure: Implementing CI/CD with GitHub Actions,https://www.pluralsight.com/courses/devops-github-azure-implementing-cicd-github-actions,Skills,Dec 2 2021,by Neil Morrissey,Intermediate,3h 21m,https://pluralsight.imgix.net/course-images/devops-github-azure-implementing-cicd-github-actions-v1.jpg?w=120
1981,Implementing Microsoft Azure Privileged Identity Management,https://www.pluralsight.com/courses/implementing-microsoft-azure-privileged-identity-mgmt,Skills,Dec 2 2021,by Neeraj Kumar,Intermediate,2h 24m,https://pluralsight.imgix.net/course-images/implementing-microsoft-azure-privileged-identity-mgmt-v1.jpg?w=120
1982,OS Analysis with OSSEC 3,https://www.pluralsight.com/courses/os-analysis-ossec,Skills,Dec 2 2021,by Michael Edie,Intermediate,24m,https://pluralsight.imgix.net/course-images/os-analysis-ossec-v1.jpg?w=120
1983,Reporting and Communication for CompTIA Pentest+,https://www.pluralsight.com/courses/reporting-communication-pentest-plus-cert,Skills,Dec 2 2021,by Ricardo Reimao,Intermediate,1h 7m,https://pluralsight.imgix.net/course-images/reporting-communication-pentest-plus-cert-v1.png?w=120
1984,Building No-Code Apps with AppSheet: Foundations,https://www.pluralsight.com/courses/building-no-code-apps-appsheet-foundations,Skills,Dec 2 2021,by Google Cloud,Beginner,2h 24m,https://pluralsight.imgix.net/course-images/building-no-code-apps-appsheet-foundations-v1.png?w=120
1985,Microsoft Azure App Services for Administrators: The Big Picture,https://www.pluralsight.com/courses/microsoft-azure-app-services-big-picture,Skills,Dec 2 2021,by Anthony Alampi,Intermediate,23m,https://pluralsight.imgix.net/course-images/microsoft-azure-app-services-big-picture-v1.jpg?w=120
1986,Building Essential UI Data Elements in React 17,https://www.pluralsight.com/courses/react-17-building-essential-ui-data-elements,Skills - Expanded,Dec 1 2021,by Peter Kellner,Intermediate,3h 28m,https://pluralsight.imgix.net/course-images/react-17-building-essential-ui-data-elements-v1.jpg?w=120
1987,Integrate Power Apps with Other Apps and Services (PL-200),https://www.pluralsight.com/courses/integrate-power-apps-other-apps-services,Skills,Dec 1 2021,by Matthew Soucoup,Intermediate,1h 2m,https://pluralsight.imgix.net/course-images/integrate-power-apps-other-apps-services-v1.jpg?w=120
1988,Machine Learning for Retail,https://www.pluralsight.com/courses/machine-learning-retail,Skills,Dec 1 2021,by Janani Ravi,Beginner,1h 59m,https://pluralsight.imgix.net/course-images/machine-learning-retail-v1.jpg?w=120
1989,Machine Learning for Marketing,https://www.pluralsight.com/courses/machine-learning-marketing,Skills,Dec 1 2021,by Janani Ravi,Beginner,1h 47m,https://pluralsight.imgix.net/course-images/machine-learning-marketing-v1.jpg?w=120
1990,Building Bots with Microsoft Bot Framework Composer 2,https://www.pluralsight.com/courses/microsoft-bot-framework-composer2-building-bots,Skills - Expanded,Dec 1 2021,by Matthew Kruczek,Beginner,3h 20m,https://pluralsight.imgix.net/course-images/microsoft-bot-framework-composer2-building-bots-v1.jpg?w=120
1991,Enrich Reports for Usability with Power BI,https://www.pluralsight.com/courses/enrich-reports-usability-power-bi,Skills,Nov 30 2021,by Ben Howard,Beginner,2h 36m,https://pluralsight.imgix.net/course-images/enrich-reports-usability-power-bi-v1.jpg?w=120
1992,Getting Started with Argo CD,https://www.pluralsight.com/courses/argo-cd-getting-started,Skills,Nov 30 2021,by Steve Buchanan,Intermediate,1h 36m,https://pluralsight.imgix.net/course-images/argo-cd-getting-started-v1.jpg?w=120
1993,Oracle Database Program with PL/SQL Exam Number: 1Z0-149 - Writing Executable Statements,https://www.pluralsight.com/courses/oracle-database-program-writing-executable-statements,Skills,Nov 30 2021,by Saravanan Dhandapani,Beginner,59m,https://pluralsight.imgix.net/course-images/oracle-database-program-writing-executable-statements-v1.jpg?w=120
1994,Microsoft Power Platform App Maker: Preparing to Take the PL-100 Exam,https://www.pluralsight.com/courses/microsoft-power-platform-app-maker-exam-prep,Skills,Nov 30 2021,by Vlad Catrinescu,Beginner,21m,https://pluralsight.imgix.net/course-images/microsoft-power-platform-app-maker-exam-prep-v1.jpg?w=120
1995,COBOL Big Picture,https://www.pluralsight.com/courses/cobol-big-picture,Skills - Expanded,Nov 30 2021,by Tom Taulli,Beginner,1h 10m,https://pluralsight.imgix.net/course-images/cobol-big-picture-v1.jpg?w=120
1996,Tools and Code Analysis for CompTIA Pentest+,https://www.pluralsight.com/courses/tools-code-analysis-pentest-plus-cert,Skills,Nov 29 2021,by Rishalin Pillay,Intermediate,2h ,https://pluralsight.imgix.net/course-images/tools-code-analysis-pentest-plus-cert-v1.png?w=120
1997,Oracle Database Program with PL/SQL Exam Number: 1Z0-149 - Creating Procedures and Using Parameters,https://www.pluralsight.com/courses/oracle-database-program-procedures-parameters-cert,Skills,Nov 29 2021,by Mike McQuillan,Intermediate,1h 6m,https://pluralsight.imgix.net/course-images/oracle-database-program-procedures-parameters-cert-v1.jpg?w=120
1998,Red Hat Certified Specialist in OpenShift Administration: Managing the OpenShift Platform,https://www.pluralsight.com/courses/rhcs-openshift-administration-managing-openshift-platform-cert,Skills,Nov 25 2021,by Andrei Balint,Intermediate,1h 37m,https://pluralsight.imgix.net/course-images/rhcs-openshift-administration-managing-openshift-platform-cert-v1.jpg?w=120
1999,Mitigate Threats Using Microsoft Defender,https://www.pluralsight.com/courses/mitigate-threats-microsoft-defender-cert,Skills,Nov 25 2021,by Michael Teske,Intermediate,1h 21m,https://pluralsight.imgix.net/course-images/mitigate-threats-microsoft-defender-cert-v1.png?w=120
2000,Machine Learning for Financial Services,https://www.pluralsight.com/courses/machine-learning-financial-services,Skills,Nov 24 2021,by Janani Ravi,Beginner,1h 51m,https://pluralsight.imgix.net/course-images/machine-learning-financial-services-v1.jpg?w=120
2001,Machine Learning for Healthcare,https://www.pluralsight.com/courses/machine-learning-healthcare,Skills,Nov 24 2021,by Janani Ravi,Beginner,1h 48m,https://pluralsight.imgix.net/course-images/machine-learning-healthcare-v1.jpg?w=120
2002,Windows PowerShell Desired State Configuration,https://www.pluralsight.com/courses/windows-powershell-desired-state-configuration,Skills,Nov 24 2021,by Jeff Hicks,Intermediate,4h 23m,https://pluralsight.imgix.net/course-images/windows-powershell-desired-state-configuration-v1.jpg?w=120
2003,Creating and Applying Filters in Sisense,https://www.pluralsight.com/courses/creating-applying-filters-sisense,Skills - Expanded,Nov 24 2021,by Niraj Joshi,Advanced,23m,https://pluralsight.imgix.net/course-images/creating-applying-filters-sisense-v1.jpg?w=120
2004,Developing Data Models with LookML,https://www.pluralsight.com/courses/developing-data-models-lookml-1,Skills,Nov 24 2021,by Google Cloud,Intermediate,2h 37m,https://pluralsight.imgix.net/course-images/developing-data-models-lookml-1-v1.png?w=120
2005,Change Management: Developing the Plan,https://www.pluralsight.com/courses/developing-plan-change-management,Skills,Nov 24 2021,by Alice Meredith,Intermediate,1h 42m,https://pluralsight.imgix.net/course-images/developing-plan-change-management-v1.jpg?w=120
2006,Change Management: Formulating a Strategy,https://www.pluralsight.com/courses/formulating-strategy-change-management,Skills,Nov 24 2021,by Alice Meredith,Intermediate,1h 54m,https://pluralsight.imgix.net/course-images/formulating-strategy-change-management-v1.jpg?w=120
2007,Integrating HashiCorp Vault in DevOps Workflows,https://www.pluralsight.com/courses/hashicorp-vault-integrating-devops-workflows,Skills,Nov 24 2021,by Chris Green,Intermediate,1h 55m,https://pluralsight.imgix.net/course-images/hashicorp-vault-integrating-devops-workflows-v1.jpg?w=120
2008,AWS Developer: Designing and Developing,https://www.pluralsight.com/courses/aws-developer-designing-developing,Skills,Nov 23 2021,by Ryan H. Lewis,Intermediate,4h 41m,https://pluralsight.imgix.net/course-images/aws-developer-designing-developing-v1.png?w=120
2009,What's New in .NET 6,https://www.pluralsight.com/courses/whats-new-dot-net-6,Skills,Nov 23 2021,by Gill Cleeren,Beginner,1h 54m,https://pluralsight.imgix.net/course-images/whats-new-dot-net-6-v1.jpg?w=120
2010,Creating Dashboards with Power BI,https://www.pluralsight.com/courses/creating-dashboards-power-bi,Skills,Nov 23 2021,by Matthew Calderwood,Intermediate,1h 59m,https://pluralsight.imgix.net/course-images/creating-dashboards-power-bi-v1.jpg?w=120
2011,TypeScript 4 In-Depth,https://www.pluralsight.com/courses/typescript-4-in-depth,Skills - Expanded,Nov 23 2021,by Brice Wilson,Intermediate,3h 23m,https://pluralsight.imgix.net/course-images/typescript-4-in-depth-v1.jpg?w=120
2012,Getting Started with EKS (Elastic Kubernetes Service),https://www.pluralsight.com/courses/eks-getting-started,Skills,Nov 22 2021,by Craig Golightly,Beginner,2h 20m,https://pluralsight.imgix.net/course-images/eks-getting-started-v1.jpg?w=120
2013,Moving Data with Snowflake,https://www.pluralsight.com/courses/moving-data-snowflake,Skills,Nov 22 2021,by Mohit Batra,Beginner,1h 22m,https://pluralsight.imgix.net/course-images/moving-data-snowflake-v1.jpg?w=120
2014,Handling Batch Data with Apache Spark on Databricks,https://www.pluralsight.com/courses/handling-batch-data-apache-spark-databricks,Skills,Nov 22 2021,by Janani Ravi,Beginner,2h 22m,https://pluralsight.imgix.net/course-images/handling-batch-data-apache-spark-databricks-v1.jpeg?w=120
2015,Application Analysis with Endlessh 1,https://www.pluralsight.com/courses/application-analysis-endlessh,Skills,Nov 22 2021,by Laurentiu Raducu,Intermediate,16m,https://pluralsight.imgix.net/course-images/application-analysis-endlessh-v1.jpg?w=120
2016,ICAgile (ICP-FDO): Operations,https://www.pluralsight.com/courses/icagile-icp-fdo-operations,Skills,Nov 22 2021,by Chris Behrens,Intermediate,1h 8m,https://pluralsight.imgix.net/course-images/icagile-icp-fdo-operations-v1.jpg?w=120
2017,Analyze Network Event Activity Data with Elasticsearch,https://www.pluralsight.com/courses/analyze-network-event-activity-data-elasticsearch,Skills,Nov 22 2021,by Joe Abraham,Intermediate,2h 32m,https://pluralsight.imgix.net/course-images/analyze-network-event-activity-data-elasticsearch-v1.jpg?w=120
2018,Design a Model with Power BI,https://www.pluralsight.com/courses/design-model-power-bi,Skills,Nov 20 2021,by Eugene Meidinger,Beginner,1h 19m,https://pluralsight.imgix.net/course-images/design-model-power-bi-v1.jpg?w=120
2019,OS Analysis with osquery,https://www.pluralsight.com/courses/os-analysis-osquery,Skills,Nov 20 2021,by Joe Abraham,Intermediate,31m,https://pluralsight.imgix.net/course-images/os-analysis-osquery-v1.jpg?w=120
2020,Angular 13 Best Practices,https://www.pluralsight.com/courses/best-practices-angular,Skills,Nov 19 2021,by Jim Cooper,Intermediate,1h 48m,https://pluralsight.imgix.net/course-images/audience/software-development.jpg?w=120
2021,Incorporating Site Reliability Engineering (SRE) in Your System Design,https://www.pluralsight.com/courses/site-reliability-engineering-system-design-incorporating,Skills,Nov 19 2021,by Elton Stoneman,Intermediate,1h 37m,https://pluralsight.imgix.net/course-images/site-reliability-engineering-system-design-incorporating-v1.jpg?w=120
2022,Getting Started with OpenShift 4,https://www.pluralsight.com/courses/openshift-getting-started,Skills,Nov 19 2021,by Ben Weissman,Intermediate,1h 31m,https://pluralsight.imgix.net/course-images/openshift-getting-started-v1.jpg?w=120
2023,Cisco SD-WAN: Management and Operations,https://www.pluralsight.com/courses/cisco-sd-wan-management-operations-cert,Skills,Nov 19 2021,by Leigh Bogardis,Intermediate,1h 23m,https://pluralsight.imgix.net/course-images/cisco-sd-wan-management-operations-cert-v1.png?w=120
2024,Scaling up Your Digital Body Language,https://www.pluralsight.com/courses/scaling-up-digital-body-language,Skills,Nov 19 2021,by Aleksandra Majkic,Intermediate,1h 30m,https://pluralsight.imgix.net/course-images/scaling-up-digital-body-language-v1.jpg?w=120
2025,Fundamentals of Citrix Cloud,https://www.pluralsight.com/courses/fundamentals-citrix-cloud-1,Skills - Expanded,Nov 19 2021,by citrix,Beginner,1h 54m,https://pluralsight.imgix.net/course-images/fundamentals-citrix-cloud-1-v1.png?w=120
2026,Azure DevOps Services Fundamentals,https://www.pluralsight.com/courses/azure-devops-services-fundamentals,Skills - Expanded,Nov 19 2021,by Benjamin Day,Beginner,6h 19m,https://pluralsight.imgix.net/course-images/azure-devops-services-fundamentals-v1.jpg?w=120
2027,Working with Semi-structured Data with Snowflake,https://www.pluralsight.com/courses/working-semi-structured-data-snowflake,Skills,Nov 18 2021,by Warner Chaves,Intermediate,1h 37m,https://pluralsight.imgix.net/course-images/working-semi-structured-data-snowflake-v1.jpg?w=120
2028,"Microsoft Endpoint Manager: Windows Autopilot, Windows 365, and Azure Virtual Desktop",https://www.pluralsight.com/courses/mem-windows-autopilot-windows-365-azure-virtual-desktop,Skills,Nov 18 2021,by Greg Shields,Intermediate,1h 12m,https://pluralsight.imgix.net/course-images/mem-windows-autopilot-windows-365-azure-virtual-desktop-v1.jpg?w=120
2029,UX Design Systems,https://www.pluralsight.com/courses/ux-design-systems,Skills,Nov 18 2021,by Megan Young,Beginner,1h 19m,https://pluralsight.imgix.net/course-images/ux-design-systems-v1.jpg?w=120
2030,Building Your First Data Science Project in Microsoft Azure,https://www.pluralsight.com/courses/building-first-data-science-project-microsoft-azure,Skills,Nov 18 2021,by Axel Sirota,Beginner,1h 51m,https://pluralsight.imgix.net/course-images/building-first-data-science-project-microsoft-azure-v1.jpg?w=120
2031,Integrating Automated Security Testing Tools,https://www.pluralsight.com/courses/integrating-automated-security-testing-tools,Skills,Nov 18 2021,by Peter Mosmans,Intermediate,1h 28m,https://pluralsight.imgix.net/course-images/integrating-automated-security-testing-tools-v1.jpg?w=120
2032,Service Design: Getting Started,https://www.pluralsight.com/courses/getting-started-service-design,Skills,Nov 18 2021,by Megan Andrew,Beginner,1h 14m,https://pluralsight.imgix.net/course-images/getting-started-service-design-v1.jpg?w=120
2033,Network Troubleshooting and Tools,https://www.pluralsight.com/courses/network-troubleshooting-tools-cert,Skills,Nov 17 2021,by Ross Bagurdes,Intermediate,3h 48m,https://pluralsight.imgix.net/course-images/network-troubleshooting-tools-cert-v1.jpg?w=120
2034,Getting Started with Docker on Windows,https://www.pluralsight.com/courses/docker-windows-getting-started-2021,Skills - Expanded,Nov 17 2021,by Wes Higbee,Beginner,5h 34m,https://pluralsight.imgix.net/course-images/docker-windows-getting-started-2021-v1.jpg?w=120
2035,Getting Productive with SQL Developer,https://www.pluralsight.com/courses/gettingproductive-sql-developer,Skills - Expanded,Nov 17 2021,by Pankaj Jain,Beginner,4h 54m,https://pluralsight.imgix.net/course-images/gettingproductive-sql-developer-v1.jpg?w=120
2036,Develop a Data Model with Power BI,https://www.pluralsight.com/courses/develop-data-model-power-bi,Skills,Nov 17 2021,by Mihaela Danci,Beginner,1h 9m,https://pluralsight.imgix.net/course-images/develop-data-model-power-bi-v1.jpg?w=120
2037,Create Measures by Using DAX with Power BI,https://www.pluralsight.com/courses/create-measures-using-dax-power-bi,Skills,Nov 17 2021,by Brent Allen,Beginner,1h 9m,https://pluralsight.imgix.net/course-images/create-measures-using-dax-power-bi-v1.jpg?w=120
2038,Protocol Deep Dive: PIM,https://www.pluralsight.com/courses/pim-protocol-deep-dive,Skills,Nov 17 2021,by Tim McConnaughy,Intermediate,2h 33m,https://pluralsight.imgix.net/course-images/pim-protocol-deep-dive-v1.jpg?w=120
2039,Google Analytics 4 Fundamentals,https://www.pluralsight.com/courses/google-analytics-four-fundamentals,Skills - Expanded,Nov 16 2021,by David LaFontaine,Beginner,2h 17m,https://pluralsight.imgix.net/course-images/google-analytics-four-fundamentals-v1.jpg?w=120
2040,Introduction to the VCP-DCV Certification,https://www.pluralsight.com/courses/vcp-dcv-introduction-cert,Skills,Nov 15 2021,by Matt Allford,Beginner,33m,https://pluralsight.imgix.net/course-images/vcp-dcv-introduction-cert-v1.jpg?w=120
2041,What's New in Apache Kafka 3.0,https://www.pluralsight.com/courses/whats-new-apache-kafka-30,Skills - Expanded,Nov 15 2021,by Bogdan Sucaciu,Beginner,52m,https://pluralsight.imgix.net/course-images/whats-new-apache-kafka-30-v1.jpg?w=120
2042,Execution with Donut,https://www.pluralsight.com/courses/execution-donut,Skills,Nov 15 2021,by Matt Glass,Intermediate,19m,https://pluralsight.imgix.net/course-images/execution-donut-v1.jpg?w=120
2043,Approaches to Data Enabled Decision Making,https://www.pluralsight.com/courses/approaches-data-enabled-decision-making,Skills,Nov 12 2021,by Janani Ravi,Beginner,1h 54m,https://pluralsight.imgix.net/course-images/approaches-data-enabled-decision-making-v1.jpg?w=120
2044,OWASP Top 10: What's New,https://www.pluralsight.com/courses/owasp-top-ten-whats-new,Skills,Nov 12 2021,by Gavin Johnson-Lynn,Intermediate,1h 18m,https://pluralsight.imgix.net/course-images/owasp-top-ten-whats-new-v1.jpg?w=120
2045,Preparing to Migrate to Microsoft 365,https://www.pluralsight.com/courses/microsoft-365-preparing-migrate,Skills - Expanded,Nov 12 2021,by Robert McMillen,Intermediate,53m,https://pluralsight.imgix.net/course-images/microsoft-365-preparing-migrate-v1.jpg?w=120
2046,Microsoft Endpoint Manager: Operating Systems Deployment with MECM,https://www.pluralsight.com/courses/mem-mecm-operating-systems-deployment,Skills,Nov 12 2021,by Greg Shields,Intermediate,2h 35m,https://pluralsight.imgix.net/course-images/mem-mecm-operating-systems-deployment-v1.jpg?w=120
2047,ICAgile (ICP-FDO): Configuration Management,https://www.pluralsight.com/courses/icagile-icp-fdo-configuration-management,Skills,Nov 12 2021,by Corneile Britz,Intermediate,40m,https://pluralsight.imgix.net/course-images/icagile-icp-fdo-configuration-management-v1.jpg?w=120
2048,"Security Compliance, Governance, and Frameworks",https://www.pluralsight.com/courses/security-compliance-governance-frameworks,Skills,Nov 12 2021,by Richard Harpur,Intermediate,1h 41m,https://pluralsight.imgix.net/course-images/security-compliance-governance-frameworks-v1.jpg?w=120
2049,Attacks and Exploits: Network and Application Attacks for CompTIA Pentest+,https://www.pluralsight.com/courses/attacks-exploits-network-application-attacks-pentest-cert,Skills,Nov 11 2021,by Matthew Lloyd Davies,Intermediate,3h 24m,https://pluralsight.imgix.net/course-images/attacks-exploits-network-application-attacks-pentest-cert-v1.png?w=120
2050,Cisco Enterprise Networks: Design,https://www.pluralsight.com/courses/cisco-enterprise-networks-design-cert,Skills,Nov 11 2021,by Ben Piper,Intermediate,1h 37m,https://pluralsight.imgix.net/course-images/cisco-enterprise-networks-design-cert-v1.jpg?w=120
2051,Foundations of Statistics and Probability for Machine Learning,https://www.pluralsight.com/courses/foundations-statistics-probability-machine-learning,Skills,Nov 10 2021,by Janani Ravi,Beginner,2h 12m,https://pluralsight.imgix.net/course-images/foundations-statistics-probability-machine-learning-v1.jpg?w=120
2052,"Clean, Transform, and Load Data with Power BI",https://www.pluralsight.com/courses/clean-transform-load-data-power-bi,Skills,Nov 10 2021,by Thomas LeBlanc,Beginner,1h 3m,https://pluralsight.imgix.net/course-images/clean-transform-load-data-power-bi-v1.jpg?w=120
2053,Literacy Essentials: Core Concepts Neural Network,https://www.pluralsight.com/courses/literacy-essentials-core-concepts-neural-network,Skills,Nov 9 2021,by Abdul Rehman Yousaf,Beginner,48m,https://pluralsight.imgix.net/course-images/literacy-essentials-core-concepts-neural-network-v1.jpg?w=120
2054,Working with Pointers and Arrays in C++ 20,https://www.pluralsight.com/courses/working-pointers-arrays-cplusplus-20,Skills,Nov 9 2021,by Mateo Prigl,Intermediate,5h 2m,https://pluralsight.imgix.net/course-images/working-pointers-arrays-cplusplus-20-v1.jpg?w=120
2055,Keeping up with Technology,https://www.pluralsight.com/courses/technology-keeping-up,Skills,Nov 9 2021,by Dan Appleman,Beginner,54m,https://pluralsight.imgix.net/course-images/technology-keeping-up-v1.jpg?w=120
2056,"Cisco Collaboration Fundamentals: Managing Media Resources, ISR Call Control, Voicemail, and Reporting",https://www.pluralsight.com/courses/cisco-collaboration-fundamentals-media-resources-isr-call-voicemail-reporting,Skills,Nov 9 2021,by Sean Douglas,Intermediate,3h 21m,https://pluralsight.imgix.net/course-images/cisco-collaboration-fundamentals-media-resources-isr-call-voicemail-reporting-v3.jpg?w=120
2057,Using ServiceNow Reports and Dashboards,https://www.pluralsight.com/courses/servicenow-using-reports-dashboards,Skills - Expanded,Nov 9 2021,by Saravanan Dhandapani,Intermediate,1h 4m,https://pluralsight.imgix.net/course-images/servicenow-using-reports-dashboards-v1.jpg?w=120
2058,Enhance Reports to Expose Insights with Power BI,https://www.pluralsight.com/courses/enhance-reports-expose-insights-power-bi,Skills,Nov 9 2021,by Dayo Bamikole,Advanced,54m,https://pluralsight.imgix.net/course-images/enhance-reports-expose-insights-power-bi-v1.jpg?w=120
2059,ICAgile (ICP-FDO): Continuous Delivery,https://www.pluralsight.com/courses/icagile-icp-fdo-continuous-delivery,Skills,Nov 9 2021,by Chris Behrens,Intermediate,1h 37m,https://pluralsight.imgix.net/course-images/icagile-icp-fdo-continuous-delivery-v1.jpg?w=120
2060,Key Concepts Machine Learning,https://www.pluralsight.com/courses/key-concepts-machine-learning,Skills,Nov 9 2021,by Janani Ravi,Beginner,2h 6m,https://pluralsight.imgix.net/course-images/key-concepts-machine-learning-v1.jpg?w=120
2061,Manage Account Access with Salesforce Territory Management,https://www.pluralsight.com/courses/manage-account-access-salesforce-territory-mgmt,Skills,Nov 9 2021,by Sara Morgan Nettles,Intermediate,46m,https://pluralsight.imgix.net/course-images/manage-account-access-salesforce-territory-mgmt-v1.jpg?w=120
2062,.NET 6 First Look,https://www.pluralsight.com/courses/dot-net-6-first-look,Skills,Nov 8 2021,by Gill Cleeren,Beginner,1h 52m,https://pluralsight.imgix.net/course-images/dot-net-6-first-look-v1.jpg?w=120
