,title,title_url_selector,date,author,level,length,icon
52,Production Machine Learning Systems,https://www.pluralsight.com/courses/production-machine-learning-systems-7,Aug 18 2023,by Google Cloud,Intermediate,2h 42m,https://pluralsight.imgix.net/course-images/production-machine-learning-systems-7-v1.png?w=120
53,Google Slides,https://www.pluralsight.com/courses/google-slides-2,Aug 18 2023,by Google Cloud,Beginner,44m,https://pluralsight.imgix.net/course-images/google-slides-2-v1.png?w=120
54,Spring Framework 6 Fundamentals,https://www.pluralsight.com/courses/spring-framework-6-fundamentals,Aug 18 2023,by Bryan Hansen,Beginner,2h 36m,https://pluralsight.imgix.net/course-images/spring-framework-6-fundamentals-v1.jpg?w=120
55,Getting Started with Podman,https://www.pluralsight.com/courses/podman-getting-started,Aug 17 2023,by Andrew Mallett,Beginner,3h 31m,https://pluralsight.imgix.net/course-images/podman-getting-started-v1.jpg?w=120
56,Styling Angular Applications,https://www.pluralsight.com/courses/angular-styling-applications,Aug 17 2023,by Brian Treese,Intermediate,1h 51m,https://pluralsight.imgix.net/course-images/angular-styling-applications-v1.png?w=120
57,Microsoft Collaboration Engineer: Configure and Manage Teams Meetings and Events,https://www.pluralsight.com/courses/microsoft-collaboration-engineer-configure-manage-teams-meetings-events-cert,Aug 17 2023,by Jeff Brown,Intermediate,1h 14m,https://pluralsight.imgix.net/course-images/microsoft-collaboration-engineer-configure-manage-teams-meetings-events-cert-v1.jpg?w=120
58,Network Protocols for Security: ICMP,https://www.pluralsight.com/courses/icmp-sec-network-protocols,Aug 17 2023,by Brandon DeVault,Beginner,18m,https://pluralsight.imgix.net/course-images/icmp-sec-network-protocols-v1.jpg?w=120
59,Microsoft Identity and Access: Implement Access Management for Applications,https://www.pluralsight.com/courses/microsoft-identity-access-implement-management-applications-cert,Aug 17 2023,by Reza Salehi,Intermediate,1h 31m,https://pluralsight.imgix.net/course-images/microsoft-identity-access-implement-management-applications-cert-v2.jpg?w=120
60,Datadog Fundamentals,https://www.pluralsight.com/courses/datadog-fundamentals,Aug 17 2023,by Michael Jenkins,Intermediate,2h 58m,https://pluralsight.imgix.net/course-images/datadog-fundamentals-v1.jpg?w=120
61,Practical Application of LLMs,https://www.pluralsight.com/courses/practical-application-llms,Aug 16 2023,by Tom Taulli,Beginner,57m,https://pluralsight.imgix.net/course-images/practical-application-llms-v1.jpg?w=120
62,Building a PWA with ASP.NET Core 6 Blazor,https://www.pluralsight.com/courses/aspdotnet-core-6-blazor-building-pwa,Aug 15 2023,by Matthew Soucoup,Intermediate,1h 5m,https://pluralsight.imgix.net/course-images/aspdotnet-core-6-blazor-building-pwa-v1.png?w=120
63,Implementing and Managing Microsoft Defender for Identity,https://www.pluralsight.com/courses/microsoft-defender-identity-implementing-managing,Aug 15 2023,by Rishalin Pillay,Intermediate,1h 17m,https://pluralsight.imgix.net/course-images/microsoft-defender-identity-implementing-managing-v1.jpg?w=120
64,"Navigating Generative AI Hurdles: Prototyping, Evaluation, and Ethics",https://www.pluralsight.com/courses/navigating-generative-ai-prototyping-evaluation-ethics,Aug 15 2023,by Ed Freitas,Beginner,1h 18m,https://pluralsight.imgix.net/course-images/navigating-generative-ai-prototyping-evaluation-ethics-v1.jpg?w=120
65,The IT Ops Sessions: Sustainability in Data Centers,https://www.pluralsight.com/courses/data-centers-sustainability-it-ops-sessions0,Aug 12 2023,by Jillian Kaplan,Intermediate,27m,https://pluralsight.imgix.net/course-images/data-centers-sustainability-it-ops-sessions-v1.png?w=120
66,The IT Ops Sessions: Sustainability in Data Centers,https://www.pluralsight.com/courses/data-centers-sustainability-it-ops-sessions,Aug 12 2023,by Jillian Kaplan,Intermediate,27m,https://pluralsight.imgix.net/course-images/data-centers-sustainability-it-ops-sessions-v1.png?w=120
67,Dynatrace Fundamentals,https://www.pluralsight.com/courses/dynatrace-fundamentals,Aug 11 2023,by Jean Tunis,Intermediate,3h 5m,https://pluralsight.imgix.net/course-images/dynatrace-fundamentals-v1.jpg?w=120
68,API Security with the OWASP API Security Top 10,https://www.pluralsight.com/courses/owasp-api-security-top-100,Aug 11 2023,by Gavin Johnson-Lynn,Intermediate,1h 59m,https://pluralsight.imgix.net/course-images/owasp-api-security-top-10-v1.jpg?w=120
69,Configuring and Managing SharePoint Online and OneDrive for Business,https://www.pluralsight.com/courses/sharepoint-online-onedrive-business-configuring-managing,Aug 11 2023,by Vlad Catrinescu,Intermediate,5h 45m,https://pluralsight.imgix.net/course-images/sharepoint-online-onedrive-business-configuring-managing-v1.jpg?w=120
70,API Security with the OWASP API Security Top 10,https://www.pluralsight.com/courses/owasp-api-security-top-10,Aug 11 2023,by Pluralsight,Intermediate,1h 59m,https://pluralsight.imgix.net/course-images/owasp-api-security-top-10-v1.jpg?w=120
71,Getting Started with Jenkins,https://www.pluralsight.com/courses/jenkins-getting-started-2023,Aug 11 2023,by Wes Higbee,Beginner,2h 25m,https://pluralsight.imgix.net/course-images/jenkins-getting-started-2023-v1.jpg?w=120
72,Documenting RESTful Services Using Spring REST Docs 3,https://www.pluralsight.com/courses/spring-rest-docs-3-documenting-restful-services,Aug 11 2023,by Federico Mestrone,Advanced,3h 3m,https://pluralsight.imgix.net/course-images/spring-rest-docs-3-documenting-restful-services-v1.jpg?w=120
73,Data Security with OpenSSL,https://www.pluralsight.com/courses/openssl-data-security,Aug 10 2023,by Afzaal Ahmad Zeeshan,Intermediate,36m,https://pluralsight.imgix.net/course-images/openssl-data-security-v1.jpg?w=120
74,Terraform Deep Dive,https://www.pluralsight.com/courses/terraform-deep-dive-2023,Aug 10 2023,by Ned Bellavance,Intermediate,3h 49m,https://pluralsight.imgix.net/course-images/terraform-deep-dive-2023-v1.jpg?w=120
75,Google Docs,https://www.pluralsight.com/courses/google-docs-3,Aug 10 2023,by Google Cloud,Beginner,38m,https://pluralsight.imgix.net/course-images/google-docs-3-v1.png?w=120
76,Post Exploitation with PowerShell,https://www.pluralsight.com/courses/powershell-post-exploitation,Aug 9 2023,by Ricardo Reimao,Advanced,1h 48m,https://pluralsight.imgix.net/course-images/powershell-post-exploitation-v1.jpg?w=120
77,NLP's and Transformer Models,https://www.pluralsight.com/courses/nlp-transformer-models,Aug 9 2023,by Axel Sirota,Intermediate,2h 35m,https://pluralsight.imgix.net/course-images/nlp-transformer-models-v2.jpg?w=120
78,OS Analysis with Artillery,https://www.pluralsight.com/courses/artillery-os-analysis,Aug 9 2023,by Matt Glass,Intermediate,16m,https://pluralsight.imgix.net/course-images/artillery-os-analysis-v1.jpg?w=120
79,Rust: The Big Picture,https://www.pluralsight.com/courses/rust-big-picture,Aug 9 2023,by Mike Woodring,Beginner,1h 55m,https://pluralsight.imgix.net/course-images/rust-big-picture-v1.jpg?w=120
80,API Testing an Application with Karate,https://www.pluralsight.com/courses/karate-api-testing-application,Aug 8 2023,by Nertil Poci,Intermediate,2h 16m,https://pluralsight.imgix.net/course-images/karate-api-testing-application-v1.jpg?w=120
81,Interaction Design: The Big Picture,https://www.pluralsight.com/courses/interaction-design-big-picture,Aug 7 2023,by Amber Israelsen,Beginner,1h 12m,https://pluralsight.imgix.net/course-images/interaction-design-big-picture-v1.jpg?w=120
82,Quantum Computing Fundamentals,https://www.pluralsight.com/courses/quantum-computing-fundamentals,Aug 7 2023,by Kevin James,Beginner,1h 48m,https://pluralsight.imgix.net/course-images/quantum-computing-fundamentals-v1.png?w=120
83,Getting Started with NumPy,https://www.pluralsight.com/courses/numpy-getting-started,Aug 7 2023,by Pluralsight,Beginner,54m,https://pluralsight.imgix.net/course-images/numpy-getting-started-v1.jpg?w=120
84,MySQL Administration,https://www.pluralsight.com/courses/mysql-administration,Aug 7 2023,by Pinal Dave,Beginner,2h 1m,https://pluralsight.imgix.net/course-images/mysql-administration-v1.jpg?w=120
85,File Analysis with CyberChef,https://www.pluralsight.com/courses/cyberchef-file-analysis,Aug 4 2023,by Owen Dubiel,Intermediate,28m,https://pluralsight.imgix.net/course-images/cyberchef-file-analysis-v1.png?w=120
86,Exploring Generative AI Models and Architecture,https://www.pluralsight.com/courses/exploring-generative-ai-model-architecture,Aug 3 2023,by Naveed Tauhid,Intermediate,48m,https://pluralsight.imgix.net/course-images/exploring-generative-ai-model-architecture-v1.jpg?w=120
87,Security Risks and Privacy Concerns Using Generative AI,https://www.pluralsight.com/courses/gen-ai-sec-risks-privacy-concerns,Aug 2 2023,by Shaila Rana,Intermediate,24m,https://pluralsight.imgix.net/course-images/gen-ai-sec-risks-privacy-concerns-v1.jpg?w=120
88,Apple Device Support: App Management,https://www.pluralsight.com/courses/apple-device-support-app-management-cert,Jul 29 2023,by Rachel Gillett,Intermediate,1h 25m,https://pluralsight.imgix.net/course-images/apple-device-support-app-management-cert-v1.jpg?w=120
89,Networking in Google Cloud: Hybrid Connectivity and Network Management,https://www.pluralsight.com/courses/networking-google-cloud-hybrid-connectivity-network-management-10,Jul 28 2023,by Google Cloud,Beginner,1h 56m,https://pluralsight.imgix.net/course-images/networking-google-cloud-hybrid-connectivity-network-management-10-v1.png?w=120
90,"Windows Endpoint Administration: Manage, Maintain, and Protect Devices",https://www.pluralsight.com/courses/windows-endpoint-administration-manage-maintain-protect-devices-cert,Jul 28 2023,by Glenn Weadock,Intermediate,3h 52m,https://pluralsight.imgix.net/course-images/windows-endpoint-administration-manage-maintain-protect-devices-cert-v1.jpg?w=120
91,Google Drive,https://www.pluralsight.com/courses/google-drive-2,Jul 28 2023,by Google Cloud,Beginner,43m,https://pluralsight.imgix.net/course-images/google-drive-2-v1.png?w=120
92,Designing and Implementing Active Directory and Entra ID,https://www.pluralsight.com/courses/azure-active-directory-designing-implementing,Jul 28 2023,by Neil Morrissey,Intermediate,4h 28m,https://pluralsight.imgix.net/course-images/azure-active-directory-designing-implementing-v1.jpg?w=120
93,Google Sheets - Advanced Topics,https://www.pluralsight.com/courses/google-sheets-advanced-topics,Jul 28 2023,by Google Cloud,Beginner,49m,https://pluralsight.imgix.net/course-images/google-sheets-advanced-topics-v1.png?w=120
94,Usage Monitoring and Auditing as a Power BI Admin,https://www.pluralsight.com/courses/power-bi-admin-usage-monitoring-auditing,Jul 28 2023,by Ben Howard,Intermediate,49m,https://pluralsight.imgix.net/course-images/power-bi-admin-usage-monitoring-auditing-v1.jpg?w=120
95,vSphere 8: Managing vSphere Resources,https://www.pluralsight.com/courses/vsphere-8-managing-resources,Jul 28 2023,by David Davis,Intermediate,2h 25m,https://pluralsight.imgix.net/course-images/vsphere-8-managing-resources-v1.jpg?w=120
96,MOVEit Vulnerability: What You Should Know,https://www.pluralsight.com/courses/moveit-vul-wysk,Jul 28 2023,by Brandon DeVault,Beginner,17m,https://pluralsight.imgix.net/course-images/moveit-vul-wysk-v1.png?w=120
97,What's New In RHEL 9,https://www.pluralsight.com/courses/rhel-9-whats-new-cert,Jul 28 2023,by Andrew Mallett,Beginner,1h 48m,https://pluralsight.imgix.net/course-images/rhel-9-whats-new-cert-v1.jpg?w=120
98,Automating Service Provider Networks with Model-driven Programmability,https://www.pluralsight.com/courses/service-provider-networks-model-driven-programmability-automating-cert,Jul 28 2023,by Nick Russo,Advanced,1h 57m,https://pluralsight.imgix.net/course-images/service-provider-networks-model-driven-programmability-automating-cert-v2.png?w=120
99,Information and Cyber Security GRC: Compliance with External Factors,https://www.pluralsight.com/courses/compliance-external-factors-security-grc,Jul 28 2023,by Dr. Lyron H. Andrews,Beginner,1h 19m,https://pluralsight.imgix.net/course-images/compliance-external-factors-security-grc-v1.jpg?w=120
100,Implementing and Managing OWASP ZAP for DevSecOps,https://www.pluralsight.com/courses/owasp-zap-devsecops-implementing-managing,Jul 28 2023,by Mike Woolard,Intermediate,1h 18m,https://pluralsight.imgix.net/course-images/owasp-zap-devsecops-implementing-managing-v1.jpg?w=120
101,Google Sheets,https://www.pluralsight.com/courses/google-sheets-2,Jul 28 2023,by Google Cloud,Beginner,50m,https://pluralsight.imgix.net/course-images/google-sheets-2-v1.png?w=120
102,Building an HTTP Application with Ktor,https://www.pluralsight.com/courses/building-http-application-ktor,Jul 27 2023,by Kevin Jones,Intermediate,3h 39m,https://pluralsight.imgix.net/course-images/building-http-application-ktor-v1.jpg?w=120
103,Creating Graphics with Canvas and SVG,https://www.pluralsight.com/courses/canvas-svg-creating-graphics,Jul 27 2023,by Mike Van Sickle,Intermediate,1h 47m,https://pluralsight.imgix.net/course-images/canvas-svg-creating-graphics-v1.jpg?w=120
104,"Information and Cyber Security Governance, Risk and Compliance (GRC)",https://www.pluralsight.com/courses/governance-risk-compliance-information-cyber-security,Jul 27 2023,by John Elliott,Beginner,1h 56m,https://pluralsight.imgix.net/course-images/governance-risk-compliance-information-cyber-security-v1.jpg?w=120
105,Gmail,https://www.pluralsight.com/courses/gmail-2,Jul 26 2023,by Google Cloud,Beginner,58m,https://pluralsight.imgix.net/course-images/gmail-2-v1.png?w=120
106,Networking in Google Cloud: Defining and Implementing Networks,https://www.pluralsight.com/courses/networking-google-cloud-defining-implementing-networks-10,Jul 26 2023,by Google Cloud,Beginner,1h 38m,https://pluralsight.imgix.net/course-images/networking-google-cloud-defining-implementing-networks-10-v1.png?w=120
107,Google Calendar,https://www.pluralsight.com/courses/google-calendar-2,Jul 26 2023,by Google Cloud,Beginner,42m,https://pluralsight.imgix.net/course-images/google-calendar-2-v1.png?w=120
108,The Data Sessions: Future Directions in Prompt Engineering,https://www.pluralsight.com/courses/data-sessions-future-directions-prompt-engineering,Jul 26 2023,by Mohamed Echout,Beginner,30m,https://pluralsight.imgix.net/course-images/data-sessions-future-directions-prompt-engineering-v1.png?w=120
109,Google Meet,https://www.pluralsight.com/courses/google-meet-1,Jul 26 2023,by Google Cloud,Beginner,41m,https://pluralsight.imgix.net/course-images/google-meet-1-v1.png?w=120
110,Building a Web Application with JavaScript,https://www.pluralsight.com/courses/javascript-building-web-application,Jul 26 2023,by Steve Buchanan,Intermediate,1h 53m,https://pluralsight.imgix.net/course-images/javascript-building-web-application-v1.jpg?w=120
111,Google Chat,https://www.pluralsight.com/courses/google-chat-1,Jul 26 2023,by Google Cloud,Beginner,47m,https://pluralsight.imgix.net/course-images/google-chat-1-v1.png?w=120
112,Google Calendar,https://www.pluralsight.com/courses/google-calendar-20,Jul 26 2023,by Google Cloud,Beginner,42m,https://pluralsight.imgix.net/course-images/google-calendar-2-v1.png?w=120
