source,target,edge
daily  they,laundry  fee,cleaned
We,small  price,took
wonderful  we,breakfast,was
breakfast,scrambled  eggs,take
that,really leaf day,is
terrible altitude it,really  tea,had
so  we,good  Cusco,'re
night  we,room,arrived at
They,baggage,helped
earlier  which,earlier  Cusco,was great
when  I,altitude night,was available
Front desk,great  recommendations,gave great
so  we,good  Cusco,'re
amplia y luminosa,ubicado y el unos,está
se nosotros nos movimos,pie sin problema,hace
Si,Cuzco dudaremos,volvemos
hostel,historical  places,is
host,very  city,are
price,night,is excellent
here  It,stupid  room,book
We,2  baby,stayed
us,staff,was
good  they,overhelmingly  daughter,felt
really  we,understanding  problems,tried
Big  thumbs,totally  money,worth
other  people,us,are
it,really phone carrier,was
time,us,said
2  am,tour,changing
We,comfy  beds,had
good  bathroom,low water shower,was fine
only weather we,good  time,is from
anyway  she,us,Well
physical  that,away weather conditions,passed
I,reservation,made
i,confirmation Robert,received
we,time,asked
I,2:30,respond
I,expected arrival time,sent
very durty we,hostel,let
probably  she,2:30  am,thinks
We,nother  hostel,had
clean  accommodation,arrival,welcoming on
kindly  we,bags,informed
We,10  room,went to
day  they,5,arrive until
little  we,evening,had
early  they,us,got
Even  we,booking,showed
best  we,google translate,had
two,deal,offered
it,too  them,was weird
booking it,booking page,looked at
I,booking,saw
well com i,side,see
they,bit  normal,seems
english speaking we,trip,be
same  we,big  bags,had
then  they,2  nights,had
She,there  bags,was nice
around  we,still  end,upset about
early  they,us,got
Even  we,booking,showed
best  we,google translate,had
two,deal,offered
it,too  them,was weird
booking it,booking page,looked at
I,booking,saw
well com i,side,see
they,bit  normal,seems
english speaking we,trip,be
same  we,big  bags,had
then  they,2  nights,had
She,there  bags,was nice
around  we,still  end,upset about
en subir algunas para,si llegas con maletas,llegar
una buena para,preocupes hacer los traslados,que
tours,prepared  guides,are
it,mold,have
warm  we,5 day shower,arrived after
we,better  price,guess
many  items,totally  staff,was
They,error,called
you,unpleasant  hotel,stay
you,Arnold Manager,apologize for
it,hardware stores,is
there  you,away  plazas,'s
sometimes  we,hot  water,was average
I,local  currency,had
We,one  Puno,stayed
ok room layout,Free Wi fi Rooms,were
bathroom floor,shoe it,had
one  it,good  money,was fine
longer  I,other  options,recommend
15 min which,evening,is
moment  you,street,enveloped by
50  that,reality,look like
room,heater,have
I,bathroom,broken
very side Internet,plus side staff,are
I,hotel,have
first  that,quickly  care,taken
you,street,'s
I,budget,suggest
you,Cuzco,advised
forever  anything,regular  intervals,is
in  it,here  table,left
those,traveling  Peru,are
real  issue,me,is
where  it,point,is
it,internet,'s
you,close  router,request
We,pristine cobblestone town,surrounded by
how  they,only  hotel,show
plus  man,fluent  english,is
We,nice  hotel,stayed
really  Staff,really  service,liked
We,really  stay,enjoyed
we,which,is
warm  most,out  street,are warm
Walking  distance,historic  centre,is
hotel,15 min Cusco,located to
4 star it,good price value,offers
such  we,Machu Picchu,was
it,you,searched high
crappy  that,too  much,was
we,TripAdvisor,was perfect
hot  room,fridge,was happy
rainfall shower head,place,is soft
they,room,ordered
it,space heater,called
mini  what,3 honey juices,offered
more  I,more  items,remember
just  they,only  fruit,ate
it,everything,ate
they,key card doors,were
door,security cameras,have
good  I,All,is nice
morning  I,too  bed,sorry
minutes  that,night,have
one  bed,tiny  room,gave
available  plug,electric bedside tables,was
hardly  which,claustrophobia,opened onto
even  we,even  nights,asked for
that  thing,us,traveled
four star it,one  qualifier,is
they,room,had
it,square,served
we,staff,pass
Kind,preference,regards
staff,hot  showers,are comfortable
very  we,whole  team,are
back  we,next  visit,be welcome
It,5  town,was
cars,constantly  horns,quieter than
Everyone,always  faces,had
much Dear we,you,hope
First  we,coco leaf tea,welcomed with
short city staff,short city centre,’s
We,you,Regards
place,beaten  path,is
even taxi drivers,it,find
ALWAYS  you,taxi driver,take
long  they,quite  act,seemed
that,Spanish,agree with
I,different  everybody,guess
drawers,clothes,put
They,few  things,have
They,6 night stay,provided
only  they,lunch,tried
there  it,nice  view,Had
later  nobody,later  week,was
we,only  point,think
loud pan flute versions,pop  us,was
Perhaps  they,act,get
we,best  service,take
you,hard  days,were
We,lovely  stay,had
staff,particularly travel us,were
great views that,Cuzco,is on
You,5  sols,walk into
stay,Wayqey hotel,enjoyed
best  we,best  service,are
We,home  you,wish
it,spanish,are
water,shower,was small
front area rooms,much  street,is
Hotel,still tourist taxi,is
it,Interval,did
only  going,de Armas area,suggest
you,amazing  Cusco,hope
We,really  hotel,love
good  breakfast,good  pressure,place
why  some,reviews,get
much  they,best,talk
customer service,terrible,is beyond terrible
plenty  which,so  holidays,do
here  we,it,booked
New  that,good  money,hotel
Best water we,Perú,preasure than
new boutique bathrooms,new boutique hotels,find
Credit card payment,other  cash,has
electric  you,additional  ones,have electric
they,% credit card,is
hotel guests,other  business,carry
fee,reservation,mentioned
they,definitely  corners,are clean
they,proper  paint,peeling in
it,ten  it,feels
black bed which,photos,used
bathroom windows,blinds,seen through
beautiful  it,eggs,is
hotel,April,opened in
brand  décor,main  square,is
bathrooms,hot  showers,are comfy
bags,room,is
available coca you,altitude,is
away  we,2 Machu nights,stayed
hotel,very  family,owned
wider  hotel,wider  birthday,invited
somewhere  that,good value prices,look
fair  they,free  mornings,had
Hot  I,night,was
same  tours,hotel,organised in
little  Spanish,guests,is
Love,Blas  area,being in
street,little  restaurants,lined with little
she,tours,assist with
6  I,private  rooms,After
I,El Grial,found
quality,expectation,exceeded
place,more  hostel,feels
this,common  area,was
much  I,Inca Trail trek,decided
when  I,room,were more
Wonderful  hostal,personal  hotel,feels like
welcome  they,low * price,cleaned
I,most Hostel El Grial,had
4 star I,single ensuite bathroom,was
It,fresh  towels,was
I,8 night days,extended
day  sheets,refreshed  towels,made
Breakfast,morning  eggs,served
time  I,Cusco,'m
400  I,it,handed
I,money,promised
I,it,received
interesting  I,quite  home,been
need,professionalism,met
easy el that,easy el issue,made
who,things,are
even  we,few  nights,stored
para trabajar si,digital,eres
Best  we,Cusco,value for
Only  internet,free  use,is
we,again  future,recommend
I,family style atmosphere,love
where  u,local  life,is
here  peeps,always  groups,are
I,nice water pressure,mentioned
simple  toiletries,quite  towel,was
me,ahead  time,is best
partly  I,early  morning,was
Free  WiFi,room,was accessible
lodge,collective minute bus,located about
best  I,best  decisions,spent
so  location,local  Cusco,is
staff,so  tickets,are
room,spacious  bathroom,was
hot water one,hour,desire
So  i,twice Macchu Picchu,stayed
i,hot  water,are warm
it,alley,wait in
I,place,liked
who,place,are
It,minutes city center,’s in
3  I,Cusco,stayed in
water,shower,was warm
other  this,other  travelers-,is
very  which,sleeping,’s
We,3 Machu nights,stayed
hot  it,nuisance,was ok
20  it,20  night,Let
10  you,slowly  armas,’s in
they,nice  patio,have
bread,definitly  me,is
nights,cusco,are
Windows,so  5,have
am  you,room,have
private  hotel,you,is good
Bed,close  plaza,is comfortable
activities,Cusco,needed
dedicated  he,many  ways,helped
me,taxi Spanish,helped
loudly  you,room,is
warmest  I,hotel,is
super  pressure,showers,are
Wifi,local  standards,was
best  I,peru,is
hostel,away  Plaza,is
it,guests,is
it,gate,has
even  room,2,provided
me,others,is
I,mixed  hotel,have mixed
as  you,close Centro restaurants,was
which,me,was
free  which,place,is
also  they,thin  curtains,are
it,night,This
6:00  which,definitely  you,noise from outside
this,sleep,are
little  it,little  more,was
it,world,be
other  rooms,different  setups,have different
Monasterio Del Inka,preserved Inca wall,situated
We,San Blas district,were able
extremely  bathroom,three  beds,were in
old sewer we,bathroom door,have
inward  they,rooms,face
there Christmas partying,late  night,were
She,great  communication,arranged several
credit they,cash,prefer
they,card surcharge fee,charge
it,rolls,breakfast
local  that,better  food,are
Gladys,desk,was fantastic
nights  rooms,15  Americans,am
Gladys,great farewell arrangements,found
I,back room rates,hope
15  that,hotel,was
First  rooms,First  all,are
morning  They,eggs,serve
Fresh,juices,squeezed
I,Peru,was
they,hotel room,became sick
alone tour group,other  locations,had
local  i,back  hotel,arranged
you,us,are happy
We,forward  you,look
breakfast,very  meats,is
quiet side it,large  shopping,is
15  one,fever  issues,traveling with
one phone man,10 hotel minutes,had
doctor,necessary  her,assessed
oxygen therapist,10  service,included
owner Macchu manager,even  room,had
when  she,local  friend,provided
back  she,back  hotel,picked
I,good  hotel,say enough
10 tour group,nights  Cusco,returned
absolutely  nothing,absence,kept
far  that,15  people,searching for
local  who,us,were excellent
when  we,hug,gave
free breakfast you,Uchu Peruvian Uchu Steakhouse,offer
when  we,4 day Salkantay hike,stored
much  you,stay,am sure
we,you,Call
shower,good  pressure,had good
it,actually  it,were
it,day,doing
they,us,was right
you,stay,assist
hotel,excellent  restaurants,is
Highly  I,again  hotel,return
always  you,you,are wellcome
I,5  Cusco,stayed
5  minutes,main  square,is less
It,main  sites,tucked
place,hot  showers,was
again  I,Cusco,return to
included  breakfast,many  choices,was
it,messy  entry,be
which,pandemic,told
I,3 tour nights,stayed at
back minute it,wide craft markets,variety of
that,new  it,'m sure
when  I,questions,helpful
also  we,Cusco,check in
god,taxi Plaza,Quick
Even Covid I,hotel,recommend
bustling shopping you,taxi,is several
when tap water,drinking,allocated for
main  cathedral,map,had
phone,staff,had
obviously  heating,hotel,was
when  we,long  days,vacuuming outside
overall  I,close town centre,is
First  room,double  beds,had
Bathroom,plastic shower curtain,appeared
Two  lifts,three  time,were fine
opposite  which,5th  floor,was
made air room,room,Ordered
They,great breakfast buffet,served
museums,walking  distance,were
We,9 Valencia Travel,stayed
We,tour them,were
hotel,great minute restaurants,located
hotel restaurant,lunch dinner menu,serves
We,own  expense,stayed
Good room sizes,good  times,breakfast good
bit town flannel,bit town centre,provided
it,everything,had
they,bed,Love
I,certain,recommend
location,good  restaurants,has
however  it,too  suitcase,have
just  food,just  service,prepared
room,daily  housekeeping,is kind
group hotel,group tour,were
cold  they,space heaters,are comfortable
we,hospedaje recoleta,loved
they,always  us,were
everyday  whole,just  place,are
whenever  we,questions,were
when  we,there  peru,were
us,long  time,staying at
too  We,inks us,went to
amazing  they,us,was
we,so  place,are
I,highly  ️,recommend
I,moment,made
beds,warm  hug,feels cosy
dropped Machu I,close  facilities,place
Me,separate home treks,stayed
we,always  home,Upon
us,treks,was instrumental
we,as Cusco area,had
I,anyone,recommend
partner,2  trek,stayed at
Two  things,really  staff,struck
you,family,welcomes
they,name,learn
constantly  you,stay,checking
touristy  it,touristy  town,is
here  restaurants,locals,preferred
really  tours,here  Cusco,is
I,highly  place,recommend
here  Staff,so  day,was
Breakfast,always  bread,was
15 minute walk,more wall picanterias,was accessible
I,here tourist buzzing,stay
several  I,minimal travel items,were
especially  staff,it,was spotty
warm  clothes,when  breakfast,were comfy
Very  I,way,down to
Lovely  hostel,historical  centre,walk from
Quite,nice  terrace,chilled
good tourism you,certain day tours,have
much  We,you  guys,<3
we,issue,had
back  I,chance,go
one Machu Picchu it,one Machu Picchu trip,came
even  I,in  3AM,was
belongings,office,allowed
back day I,back day day,come
place,lounging  space,was
multiple wifi you,whole  hostel,have free
hostel,many ping pong DVDs,has
You,own  shows,connect
It,Plaza del Armas,'s
you,room bar,is
2  I,really  city,was fun
very  I,anything,was
night trip you,hike,have
hotel,des San Armas,located in
quite  rooms,inner  garden,is
Breakfast,fresh  fruits,is excellent
you,need,accommodate
Casa solo it,Casa solo Cusco,stayed at
flight,night,was clean
when  you,Cusco,Mercedes
She,local  Cusco,advised
Location,everything,was close
"local!,Dear  We",great  us,felt like
why  we,best  service,try
we,again wonderfull city,said
We,room,stayed in
its,heater,was
so  you,us,are
well  staff,expectations,are pleased
I,troubles,stayed in
unreliable google stairway,unreliable google translate,be noisy
It,main  square,'s
you,what,get
you,already  pros,choose
final  goal,like  place,is
sometimes  booking,last minute changes,is true
we,deeply  inconvenients,are occasional
new water you,hence  shower,working on new
you,here  Cusco,assure
Carmen,better English language,wants
good  we,again  words,want
only noise that,here  street,take
anytime  you,you,remember
We,mini  kitchenette,stayed for
San Blas which,historical  Cusco,is in
bit  apartment,stairs,is
complex,few  apartments,has
Some,lovely city views,have lovely
other  guests,communal  areas,is quiet
polite  sign,this,help with
they,adequate kitchen facilities,are compact
We,time,enjoyed
it,Cusco,have
enough  people,electric us you,is
breakfast,small dining city,included in
It,hot coca tea,'s
much  she,much  English,speak much
you,historical  city,offers
I,several  weeks,stayed
Also  I,great  Cusco,had
It,wonderful self catering,was
good Hanaq that,easy walking distance,are excellent
friendly  manager,questions,answered
location,de  guests,facilitates
We,distant  future,love
We,before Puerto Maldonado,stayed
when  you,room,was
even Google It,de minute Armas,'s
Casa de it,Casa de huédpedes,facilitates
great  purpose,case,note with great
easy,restaurants,was good
nice  it,natural  light,was large
where  they,top  floor,was on
hot  They,breakfast,gave
early  breakfast,tours,leave
even  breakfast,room rate,imagine
something,it,had
tiny  hotel,away city center,walk
They,also charge luggage storage,offer free
bad  we,5  nights,stayed in
incredibly  we,incredibly  problems,were
It,de minute Armas,located with
very  it,good  money,felt
rooms,big  bags,were clean
close city hotel,good  Cusco,makes
one,ground floor,was
supplies,desultory  choices,was
you,Cusco hotel,want in
when  you,it,know
four  we,four  days,luggage for
We,4  hotel,spent
members,staff,was big
room,quite  bit,was available
early  they,even  bag,had
small  that,one  person,was
people,reception  cars,was
uphill city which,uphill city road,was
5  you,5  soles,take
I,12 ground floor,recommend
Me,Cusco,stayed at
you,Cusco,has
it,radiator,be
by  walls,just  that,is
This,little wood floors,is
I,really  stay,enjoyed
It,historical  Cusco,located in
9  it,7  kilo,give
rooms,tiny  singles,vary from large
too  which,small  bath,have
I,room,was
Koyllur inn,good  money,is good
service,English,were excellent
management,google that,suggest
much breakfast rooms,heater,were comfortable
TV,English Channel,have
Over  it,good  team,install
daughter,prior Machu Picchu,stayed
Breakfast,good  selection,was pleasant
staff,des route Armas,were friendly
nice  touch,hot water bottle,was
we,hotel experience,love
I,enough neck pain,got enough
even  it,even  it,is
they,heating pads,give
hotel receptionist,flight tickets,helped
So  I,definitely  hotel,recommended
we,next  Cusco,look
hotel,horrible cooking smells,smells of horrible
outside  you,key,locked
when  I,fecal  toilet,say
24  which,24  cafe,advertises
10  water,free drinking water,buy
I,more  water,had
This,few star hassles,is
It,very  plugs,is
opening,gun shot,surround
included  breakfast,small  child,is
actual  you,extra,have
loud  which,rooms,locked at
staff,so  others,was
older manager lady,small  glass,asked for
night manager,water,asked
this,very  hospitality,understand
they,bad  hotel,left
close  you,close  everything,is great
Breakfast,really  day,was
We,again  Antawasi,hope
10  it,priced day trips,stayed in
hot Flash heaters,hot  water,rock
much  hope,you,see
very  it,de min Armas,were friendly
it,even  them,was
dogs,aggressively  midnight,hear
inner  rooms,inner  which,hear
heart,room door,sounds
very  I,times  night,annoying
inner  It,few  sleep,was
it,room,freezing cold
it,radiators,is
Warm  water,5  minutes,was available
I,only  pullover,felt cold
so Hotel I,hardly Hotel Antawasi,book
Great water service,clean  rooms,recommend
much Dear we,you,hope
It,small Main Square,’s
it,too  nighttime,’s
Beds,hot  showers,comfortable with nice
Breakfast,fresh fruit selection,included with fresh
much  we,you,hope
when  we,us,Left
Rooms,much  comments,Thank
inner town I,inner town which,got
importantly  staff,super  stay,are
it,good  money,think
nice  courtyards,hot  us,helped with
I,direct  bookings,showed
they,me,said
first  I,second  reservation,asked
they,hostel,volunteer
so  I,fuss,make
lady,other  hostel,went to
third  they,third  road,made
first  I,choice,’s
travelling,tired  place,been
especially  I,month  arrival,impressed
fully  I,informed  choice,been honest
how  Cusqueños,fussy,are clean
most  heaters,$  6,is
where  guests,family,are
they,well guests,is available
here  I,full  month,spent
staff,genuinely  guests,cares about
noisy quaint it,noisy quaint property,moved from
3 star it,us,was perfect
who,peace,recommend
we,few  doors,relocated to
room,hot  showers,was
courtyard,available coca leaves,is lovely
many health it,many health problems,infested with
so  I,terrible  hip,are
when  it,30  deg,has
smokers,courtyard,smoke on
Towels,front toilet desk,washed
longer  this,Cuzco,ended
we,three bed room,allowed
few  mins,de  Armas,situated
it,hot  water,was
hostel,lovely breakfast area,has
We,nights  place,stayed
hot  water,very  night,was good
They,breakfast,served
We,hostal,recommend
Hostal,main city square,located out
kept  furniture,back  time,is
supermarket,just  corner,is simple
extra  blanket,charge,be chilly
where  cars,road,is on
where  hotel,high  street,have
good  room,entrance,located near
walking,street,looking in
sometimes  it,exhausting  hike,time
group,two  couples,stayed
We,long Machu Pichu,staged
we,front foot property,faced with several
it,that,was
quickly language none,limited counter English,speak
It,humming reception birds,was nice
inexpensive laundry it,small  loads,were able
first mobility sets,stairs,daunting
here student place,here student group,visited
view,loft room,was
they,much,have
really  it,really  Cusco,gets
getting,shower,'re fine
different  we,very  experience,stayed
staff,completely  English,is
place,very  night,located near
place,nice  garden,has
small  we,night  10,experienced
good San Blas which,restaurants,courtyards full
you,place,are pleased
you,warmest  regards,Receive
time  we,bitter room conditions,stayed
bathrooms,bad  room,are like
heating,morning,is on
they,just city it,asked
safe  lock,time evening,is on
you,clean  fungus,accomodation
first  me,cute  garden,got cute
3400  it,3400  meters,'s
bus,front  door,drop
best  we,American  trip,is
upstairs  which,upstairs  ensuite,had
cars,cusco,have
great  day,just  bedroom,was sick
It,popular San blas,’s
We,lovely  place,were lucky
nice  evenings,Cusco,are
5  minutes,city attractions,located
better  We,also  reception,looking for
rooms,average  hostel,have
location,30 minute walk Cusco,is
coffee which,heat,is
complete  we,complete  moment,was
what,clue,stayed for
this,9  pm,told
price,8  kg,told
we,room,explained
laundry  services,only  cash,told by
kindly cash which,minute round minute money,offered
he,now  card,informed
experience,hotel,been
outdated  interior,First  all,depressing
camping,Inka hotel,was more
4  which,poor  quality,were
when  we,long  room,was black
honestly  I,day  hotel,pay
you,Cusco,stay
honestly  I,bad  breakfast,have
they,then  microwave,heated
you,butter,was toast
back  that,anything,had
I,two  sister,stayed
just  I,four  months,traveling
already  it,already Casa Arcopunku,knew
It,de  Armas,is
24 hr reception,late  flights,was great
courtyard,main  Cusco,was
you,public  stay,is on
very  beds,room,was
water,working  order,was hot
reception,bottled tap Peru,sells bottled
time  I,Cusco,had
I,three sight friends,stayed
when  we,24 Machu reception,was lovely
location,de minute Armas,is
I,three  July,stayed
very  I,intermediate  them,were
I,credit card,was able
rooms,free  times,have free
back motion sensor which,door,take
showers,great water pressure,have great
buffet quality,buffet food,is
free  you,trek,keep
day  they,them,is
tourist it,walking  distance,stay
location,main  plaza,was nice
you,hotel,Unlikely
you,good  value,definitely
We,one  night,stayed in
we,us,decided
so  they,New Years Eve,were
other  we,other  hotels,was
TV,guide,have
we,New Years,helped
room,fourth  floor,located on
hotel,20 minute armas,is
They,sized  breakfast,had
It,de min armas,’s
Room prices,fair  breakfast,are more
It,also San Blas,’s
hotel,historical  Cusco,located
You,Plaza de las Armas,need
mine,bit  night,is
night  i,it,Spent
very  you,book,sit in
breakfast,different  jam,is
ever  they,you,help
they,it,ask for
Felt,main  door,safe
other  you,around  water,need
Bem localizado,de 5min de caminhada,sendo
Room,comfy  bed,was perfect
really  stay,really  requests,mention to
ever  we,back  Kokoa,be
we,2nd  floor,stayed with
you,it,was
so  sheets,clean  linen,were
hotel,10/10,gets
eggs,nice  morning,is
I,one  person,recommend
Edwin,kind  us,were
They,us,adviced
Also  it,de minute Armas,is
que já fiquei,todos se colocaram,com
Recomendo sem falar,localização é excelente,que
pra fazer praticamente,em,tudo
I,2  place,stayed at
We,well  hotel,were
Highly  that,Highly  hotel,recommend
place,really  price,punches above
It,main  clubs,'s
you,room location,hear
again  I,up hill plaza,stay
nicer  it,relatively tourist sites,found
very  place,very  plaza,is great
Muito limpo,e bonito,organizado
Localizaçáo,Plaza De Armas,próxima
Tivemos todo,cuidado da hotel,do
We,4 Standard Double Room,spent
we,first  him,felt
he,very  Cusco,was
Finally  he,safe  taxi,sent
this,Cusco,is
We,full bedroom kitchen,stayed in
very  apartment,daily cleaning service,were
place,truly  Alex,was
day  we,day  time,prepared
also  we,five day trek,kept
little kitchen which,little kitchen utensils,Has
location,de Main Armas,is great
Breakfast,decent  selection,provided to
We,great  stay,had
Alex,great  way,is
room,quite  daylight,was
big  you,room,had
you,yourself,like
super  communicating,her,was
Everything,whole  stay,taken
room,exactly  pictures,was
it,light,was
also  it,main  square,liked
apart  it,de  Armas,was
room,small  kitchenette,was
we,what,😊
We,warmly  host,welcomed by
stay,questions,helped
old  we,old  information,host
I,apart  hotel,recommend
why  I,it,are
host,always  us,was
place,main city Cusco,located in
she,big  package,provide
especially  it,hotel vibe,recommend
lacation,main  plaza,is
I,vacation,recommend
little  hotel,walking  distance,walk to
away  you,shower,were
24/7  it,sole women travellers,spoke good
Breakfast,cooked  drinks,included
4  I,Lake Titikaka,held
I,herbal seating teas,loved
few  buildings,together  hotel,is like
so  decor,mid Latin Europe,is like mid
warm  bathrooms,warm  duvets,are
It,nearest  shops,’s in
shower,bathroom floor,is
mattress,too  me,was
you,cold  evenings,have
breakfast,food options,is sparse
when  you,Machu Picchu,hold
quiet  street,main  square,is great
4 TIP they,better  bathrooms,Stay in
Beds,main walking Cusco,were comfortable
This,great  location,was
5  breakfast,5  stars,got
times  someone,it,had
housekeepers,6:30am,start
They,noise,leave
they,one  another,scream to
we,earplugs,sleep
We,just Inka trail,did
32 day we,32 day trip,are
construction workers,other,started
Housekeeper,away  trash,throw
sun,early  morning,cover
very  I,reception,is in
he,me,am afraid
husband,3 Inca Trail,stayed
major  attractions,many  pricing,is
inner  it,inner  courtyards,had
clean  towels,hot  water,provided
so  place,different seating areas,felt
secure lock we,4 day trek,were able
shared  hostel,San Pedro market,is close
cleaning  staff,6:30  am,arrive at
20 bed we,20 bed night,were
Best  we,trip,service
they,bed lamps,wished
great motion it,pretty  night,been
also  it,nights,was quiet
It,other  travelers,has many
two  blocks,San Pedro market,Is
cool people i,cool people taht,meet cool
well  everyone,social  spaces,were great
staff,when booking things,were
Room,hot  request,was good
many  people,same  time,kitchen with limited
which,mess,bother
2  nothing,2  days,promised
time  arrangement,airport,was
more  they,separate  washing,was
However  clothes,However  washing,was
Dear Guest,comment,Thank
they,already  rooms,repaired in
we,security  issues,provide
unfortunately  we,service,organized
hostel,budget,is great
many  beds,wall,built into
They,hot  shower,have
jam,yourself,breakfast
bag you,bag storage,kept spotless
well travel you,trustworthy  booking,have
there  staff,5  hostel,spent
we,advices,booked
always  which,very  view,was
you,them,is
Wifi,first  terrasse,was alright
We,luck,Sophie
where sanpedro you,lot  everything,arrive
staying,other week kitchen,disappear from
when  kitchen,next  morning,annoying to
some,it,were able
then  staff,us,became sullen
other  people,whole  stay,think
comfortable terrace I,staff,was
it,travelling  companion,learnt from
Edgar,nice coffee shop,takes great
value,property,overstated
We,very  detail,were
you,us,are pleased
you,central  staff,are glad
you,friends,hope
few  minutes,away Plaza San Armas,is good
staff,very  owner,were
you,price,pay
It,toast orange juice,included
We,constantly  Hotel,improving
small  hotel,few Machu Picchu,situated in
It,shorter minute Qoricancha,is
ATM machine,excellent  street,is next
small  who,generous  breakfast,has
4  all,high  standard,visited
internal  that,daylight,is
outside  view,main neighbouring buildings,matter
We,constantly  Hotel,improving
2  we,wonderful  room,got
stay,smaller  windows,are sorry
We,services,take
We,before Machu Picchu,stayed in
First  hotel,Av,located in
mostly  everything,breakfast,was decent
bit upstairs rooms,front desk area,said
We,constantly  Hotel,improving
We,4 Atiq hotel,spent
modern  hotel,de  Armas,is
main El it,main  street,is quiet
We,noise,heard
breakfast,wide la food,was
I,highly Atiq hotel,recommanded
It,end,was perfect
We,best  service,are pleased
you,friends,hope
We,time Atig Boutiquet review,are
We,6  nights,staying at
hotel,previous  reviews,met
it,needs,was
Suite Twin which,jacuzzi spa tub,booked
it,double  beds,is
still closet furniture,still  room,are
that,us,located under
so bedside we,small bedside table,realized
linen,good  marks,are of
bathroom,decent  robe,is of
shower door,strong  sewer,is
staff,hotel,are
sufficient  we,basic  Spanish,speak sufficient
We,various  it,are able
also breakfast we,day,are
hotel,de minute Aramas,is
regular  visitors,daily  business,hear
We,nearby  bakery,found several
it,main  squares,found
you,careful  staff,are pleased
you,us,hope
here  this,5  nights,spent
so  we,hands,packed for
6  food,6  hotel,stayed in
you,us,are pleased
you,exceptional  staff,are glad
you,friends,hope
it,Travel Peru articles,chose
wife,1 night stay,stayed in
we,prior  Cusco,felt
neighborhood,main  traffic,is busy
8) minute area,other  options,is
therefore  we,same  money,located in
who,very  us,was
it,remodeling,feels
few  bathroom,few  sheets,had
me,water piping,was
so  we,smell,sleep
also  they,new  ones,need
we,recently Machu mountain,was
we,hotels,consider
price,hotel,writing
I,great  hotels,was disappointed
We,services,take
I,really  hotel,enjoy
I,top  room,are old
so  I,barely  anything,ate
We,services,take
10 day this,10 day Peru,were on
rooms,little ventilation system,need
90  this,90  times,cutting
room service who,me,recommend
We,4  days,stayed in
location,hotel,are many
room,hotel lobby,But
Breakfast,6 hotel lobby,served
I,Expedia,booked
itinerary  property,airport,offers
Finally  I,UBER,used
we,us,were eager
we,others,recommended
We,6 day stay,finished
else  you,historic Inkan town,want in
staff,English,enjoyed
501  it,best  view,were in
ever  we,ever  Cusco,stay
you,smooth  home,hope
definitely  who,day quality service,make
We,good  memories,hope
Myself,4 Inca Cusco,had
Royal Inka that,unforgettable  Peru,thought of
much Dear We,always  services,trying
really  you,back  country,hope
much Dear We,always  services,trying
really  you,back  country,hope
best  part,stay,was
there  I,there  anything,were
They,always  Cusco,had
much  We,always  services,trying
really  you,back  country,hope
long  we,long  time,is close
bar,long  bar,is small
more mineral they,always coca tea,are kind
where  plants,big  time,is
Estimado,nuestra atención que vuestra experiencia,hagan
7  they,incredible  service,spend
you,ingredients,is open
early breakfast that,breakfast time,provide
great  I,extraordinary  Cusco,did
days  I,a  month,planned
alone  I,hostel,travelling
they,always  best,are
female  it,other  travelers,stayed in
very  I,daily exercise routine,are
feeling,me,was key
Cusco,hostel,stay in
Queen bed,great  sheets,traveled with
friendly  staff,de  Armas,courtesy
I,definitely  it,recommend
this,price,was
it,de  Armas,was friendly
hotel,things,is
instead  it,instead  me,know
They,entirely tile floors,need
Las,pero estaban limpios,habitaciones
El hotel necesita,en los pisos,reemplazarlas
Best  part,carefully morning Nila,was
hotel,dietary  restrictions,accommodating for
great  which,great  english,was
room,3  friends,was perfect
Staff,early morning breakfast,was
breakfasts,extremely  example,made
good  I,certainly  Cusco,was
you,that,has
They,hot water water,work
together  I,hotel,recommend
us,good  city,Made
heater,enought  sheets,was
comfy  room,2  bathrooms,was great
flight,earlier  Cusco,arrived
earlier  they,even oxygen headache,went
We,highly Hotel Casa Andina,recommend
It,Cusco Koricancha hotel,was
excellent  facilities,expectations,are
other  I,good  team,thank
who,home,is
Casa I,amazing  Cusco,had
very  you,very  questions,is
hotel,perfectly  restaurants,located near several
I,wonderful compartir sus comentarios,recommend
y que nuestras,con sus expectativas,instalaciones
otro lado tus buenos comentarios,nuestro equipo,respecto
que pudieron hacerte,como casa,sentir
staff,Peru,accommodating
We,Lima,stayed in
kind husband me,kind husband suggestions,had
down  hotel,backwards  us,stayed
good  we,international  problems,hope
stay,VIP HOUSE HOSTEL,was
daily  i,good  deals,helped
2  staff,hot  shower,is welcome
you,hostel,are happy
whose,then  acency,help
best  we,making pisco customers,offer free
place,chilled  Cusco,is amazing
you,great  cocktail,is
hostel,many chillout areas,is
we,small  you,hope
Eduardo,very  cusco,are
staff,great  hostel,are fellow
It,close  downtown,is
quiet  need,quiet  corner,beds with
this,Cusco,spent
I,also  hostel,booked
Lots,common  areas,hang
nice  hostel,close  everything,’s
across  i,across  hostel,been
i,reasonable  price,made
good  company,good  money,are good
three  they,secure  trek,were happy
I,good walking tour,had
also  they,also  tours,is
clean  I,everyone,recommend
Also  lessons,pisco sour,are ok
open air dining breakfast,main  floor,served
breakfast,tasty  eggs,is
waiter,front reception desk,served
he,answer,Ask
couple  we,quickly clothes me,realized
